player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,player_name,position,fw_def
Jason Blake (LW/C),New York Islanders,76,28,29,57,0.75,60,0,https://www.eliteprospects.com/player/8782/jason-blake,2005-2006,nhl,Jason Blake,LW/C,FW
Dainius Zubrus (W/C),Washington Capitals,71,23,34,57,0.8,84,3,https://www.eliteprospects.com/player/8632/dainius-zubrus,2005-2006,nhl,Dainius Zubrus,W/C,FW
Yanic Perreault (C),Nashville Predators,69,22,35,57,0.83,30,-3,https://www.eliteprospects.com/player/8912/yanic-perreault,2005-2006,nhl,Yanic Perreault,C,FW
Nils Ekman (LW),San Jose Sharks,77,21,36,57,0.74,54,20,https://www.eliteprospects.com/player/75/nils-ekman,2005-2006,nhl,Nils Ekman,LW,FW
Doug Weight (C),totals,70,15,42,57,0.81,75,-17,https://www.eliteprospects.com/player/8733/doug-weight,2005-2006,nhl,Doug Weight,C,FW
Joe Nieuwendyk (C),Florida Panthers,65,26,30,56,0.86,46,-2,https://www.eliteprospects.com/player/8950/joe-nieuwendyk,2005-2006,nhl,Joe Nieuwendyk,C,FW
Brendan Morrison (C),Vancouver Canucks,82,19,37,56,0.68,84,-1,https://www.eliteprospects.com/player/4321/brendan-morrison,2005-2006,nhl,Brendan Morrison,C,FW
Ladislav Nagy (LW/RW),Phoenix Coyotes,51,15,41,56,1.1,74,8,https://www.eliteprospects.com/player/5522/ladislav-nagy,2005-2006,nhl,Ladislav Nagy,LW/RW,FW
Chris Pronger (D),Edmonton Oilers,80,12,44,56,0.7,74,2,https://www.eliteprospects.com/player/8538/chris-pronger,2005-2006,nhl,Chris Pronger,D,DEF
Anson Carter (RW),Vancouver Canucks,81,33,22,55,0.68,41,-1,https://www.eliteprospects.com/player/9111/anson-carter,2005-2006,nhl,Anson Carter,RW,FW
Michael Ryder (RW),Montréal Canadiens,81,30,25,55,0.68,40,-5,https://www.eliteprospects.com/player/4487/michael-ryder,2005-2006,nhl,Michael Ryder,RW,FW
Michael Cammalleri (LW),Los Angeles Kings,80,26,29,55,0.69,50,-14,https://www.eliteprospects.com/player/9104/michael-cammalleri,2005-2006,nhl,Michael Cammalleri,LW,FW
Ray Whitney (LW/RW),Carolina Hurricanes,63,17,38,55,0.87,42,0,https://www.eliteprospects.com/player/8824/ray-whitney,2005-2006,nhl,Ray Whitney,LW/RW,FW
Jussi Jokinen (W/C),Dallas Stars,81,17,38,55,0.68,30,2,https://www.eliteprospects.com/player/2716/jussi-jokinen,2005-2006,nhl,Jussi Jokinen,W/C,FW
Martin Ručinský (LW),New York Rangers,52,16,39,55,1.06,56,10,https://www.eliteprospects.com/player/8688/martin-rucinsky,2005-2006,nhl,Martin Ručinský,LW,FW
Tim Connolly (C),Buffalo Sabres,63,16,39,55,0.87,28,5,https://www.eliteprospects.com/player/8775/tim-connolly,2005-2006,nhl,Tim Connolly,C,FW
Rick Nash (LW/RW),Columbus Blue Jackets,54,31,23,54,1,51,5,https://www.eliteprospects.com/player/3658/rick-nash,2005-2006,nhl,Rick Nash,LW/RW,FW
Fredrik Modin (LW),Tampa Bay Lightning,77,31,23,54,0.7,56,5,https://www.eliteprospects.com/player/727/fredrik-modin,2005-2006,nhl,Fredrik Modin,LW,FW
Nikolai Zherdev (LW/RW),Columbus Blue Jackets,73,27,27,54,0.74,50,-13,https://www.eliteprospects.com/player/8620/nikolai-zherdev,2005-2006,nhl,Nikolai Zherdev,LW/RW,FW
Alexander Frolov (LW),Los Angeles Kings,69,21,33,54,0.78,40,17,https://www.eliteprospects.com/player/8591/alexander-frolov,2005-2006,nhl,Alexander Frolov,LW,FW
Mike Johnson (RW),Phoenix Coyotes,80,16,38,54,0.68,50,7,https://www.eliteprospects.com/player/5687/mike-johnson,2005-2006,nhl,Mike Johnson,RW,FW
Joffrey Lupul (RW),Mighty Ducks of Anaheim,81,28,25,53,0.65,48,-13,https://www.eliteprospects.com/player/9001/joffrey-lupul,2005-2006,nhl,Joffrey Lupul,RW,FW
Glen Murray (RW),Boston Bruins,64,24,29,53,0.83,52,-8,https://www.eliteprospects.com/player/8576/glen-murray,2005-2006,nhl,Glen Murray,RW,FW
Sergei Samsonov (LW),totals,74,23,30,53,0.72,28,-3,https://www.eliteprospects.com/player/8667/sergei-samsonov,2005-2006,nhl,Sergei Samsonov,LW,FW
Jamie Langenbrunner (RW),New Jersey Devils,80,19,34,53,0.66,74,-1,https://www.eliteprospects.com/player/8742/jamie-langenbrunner,2005-2006,nhl,Jamie Langenbrunner,RW,FW
Dan Boyle (D),Tampa Bay Lightning,79,15,38,53,0.67,38,-8,https://www.eliteprospects.com/player/5369/dan-boyle,2005-2006,nhl,Dan Boyle,D,DEF
Jere Lehtinen (LW),Dallas Stars,80,33,19,52,0.65,30,9,https://www.eliteprospects.com/player/2687/jere-lehtinen,2005-2006,nhl,Jere Lehtinen,LW,FW
Steven Reinprecht (C),totals,80,22,30,52,0.65,32,11,https://www.eliteprospects.com/player/8725/steven-reinprecht,2005-2006,nhl,Steven Reinprecht,C,FW
Jozef Stümpel (C),Florida Panthers,74,15,37,52,0.7,26,11,https://www.eliteprospects.com/player/8649/jozef-stumpel,2005-2006,nhl,Jozef Stümpel,C,FW
Mike York (C/W),New York Islanders,75,13,39,52,0.69,30,-9,https://www.eliteprospects.com/player/8730/mike-york,2005-2006,nhl,Mike York,C/W,FW
Petr Sýkora (RW),totals,74,23,28,51,0.69,50,6,https://www.eliteprospects.com/player/8692/petr-sykora,2005-2006,nhl,Petr Sýkora,RW,FW
John LeClair (LW),Pittsburgh Penguins,73,22,29,51,0.7,61,-24,https://www.eliteprospects.com/player/8992/john-leclair,2005-2006,nhl,John LeClair,LW,FW
Mike Ribeiro (C),Montréal Canadiens,79,16,35,51,0.65,36,-6,https://www.eliteprospects.com/player/8715/mike-ribeiro,2005-2006,nhl,Mike Ribeiro,C,FW
Rob Blake (D),Colorado Avalanche,81,14,37,51,0.63,94,2,https://www.eliteprospects.com/player/8580/rob-blake,2005-2006,nhl,Rob Blake,D,DEF
Marek Svatos (RW),Colorado Avalanche,61,32,18,50,0.82,60,0,https://www.eliteprospects.com/player/8604/marek-svatos,2005-2006,nhl,Marek Svatos,RW,FW
Peter Schaefer (LW),Ottawa Senators,82,20,30,50,0.61,40,16,https://www.eliteprospects.com/player/8757/peter-schaefer,2005-2006,nhl,Peter Schaefer,LW,FW
Kimmo Timonen (D),Nashville Predators,79,11,39,50,0.63,74,-3,https://www.eliteprospects.com/player/2664/kimmo-timonen,2005-2006,nhl,Kimmo Timonen,D,DEF
Wade Redden (D),Ottawa Senators,65,10,40,50,0.77,63,35,https://www.eliteprospects.com/player/8931/wade-redden,2005-2006,nhl,Wade Redden,D,DEF
Mark Parrish (RW),totals,76,29,20,49,0.64,20,-23,https://www.eliteprospects.com/player/8905/mark-parrish,2005-2006,nhl,Mark Parrish,RW,FW
Matt Cullen (C),Carolina Hurricanes,78,25,24,49,0.63,40,4,https://www.eliteprospects.com/player/8754/matt-cullen,2005-2006,nhl,Matt Cullen,C,FW
Martin Erat (RW/LW),Nashville Predators,80,20,29,49,0.61,76,0,https://www.eliteprospects.com/player/8611/martin-erat,2005-2006,nhl,Martin Erat,RW/LW,FW
Dion Phaneuf (D),Calgary Flames,82,20,29,49,0.6,93,5,https://www.eliteprospects.com/player/8564/dion-phaneuf,2005-2006,nhl,Dion Phaneuf,D,DEF
Scott Young (RW),St. Louis Blues,79,18,31,49,0.62,52,-32,https://www.eliteprospects.com/player/8797/scott-young,2005-2006,nhl,Scott Young,RW,FW
John-Michael Liles (D),Colorado Avalanche,82,14,35,49,0.6,44,5,https://www.eliteprospects.com/player/8734/john-michael-liles,2005-2006,nhl,John-Michael Liles,D,DEF
Marek Zidlicky (D),Nashville Predators,67,12,37,49,0.73,82,8,https://www.eliteprospects.com/player/3633/marek-zidlicky,2005-2006,nhl,Marek Zidlicky,D,DEF
Brian Rafalski (D),New Jersey Devils,82,6,43,49,0.6,36,0,https://www.eliteprospects.com/player/1635/brian-rafalski,2005-2006,nhl,Brian Rafalski,D,DEF
Thomas Vanek (LW/RW),Buffalo Sabres,81,25,23,48,0.59,72,-11,https://www.eliteprospects.com/player/8493/thomas-vanek,2005-2006,nhl,Thomas Vanek,LW/RW,FW
Scott Hartnell (LW),Nashville Predators,81,25,23,48,0.59,101,8,https://www.eliteprospects.com/player/8764/scott-hartnell,2005-2006,nhl,Scott Hartnell,LW,FW
Mark Bell (C/LW),Chicago Blackhawks,82,25,23,48,0.59,107,-14,https://www.eliteprospects.com/player/8765/mark-bell,2005-2006,nhl,Mark Bell,C/LW,FW
Bryan Smolinski (C),Ottawa Senators,81,17,31,48,0.59,46,8,https://www.eliteprospects.com/player/8887/bryan-smolinski,2005-2006,nhl,Bryan Smolinski,C,FW
Petr Prucha (RW/LW),New York Rangers,68,30,17,47,0.69,32,3,https://www.eliteprospects.com/player/8686/petr-prucha,2005-2006,nhl,Petr Prucha,RW/LW,FW
Nathan Horton (RW),Florida Panthers,71,28,19,47,0.66,89,8,https://www.eliteprospects.com/player/3657/nathan-horton,2005-2006,nhl,Nathan Horton,RW,FW
Kristian Huselius (LW),totals,78,20,27,47,0.6,40,-9,https://www.eliteprospects.com/player/691/kristian-huselius,2005-2006,nhl,Kristian Huselius,LW,FW
Paul Mara (D),Phoenix Coyotes,78,15,32,47,0.6,70,-12,https://www.eliteprospects.com/player/8566/paul-mara,2005-2006,nhl,Paul Mara,D,DEF
Geoff Sanderson (LW),totals,77,25,21,46,0.6,58,-15,https://www.eliteprospects.com/player/8780/geoff-sanderson,2005-2006,nhl,Geoff Sanderson,LW,FW
Derek Roy (C),Buffalo Sabres,70,18,28,46,0.66,57,1,https://www.eliteprospects.com/player/8810/derek-roy,2005-2006,nhl,Derek Roy,C,FW
Pierre Turgeon (C),Colorado Avalanche,62,16,30,46,0.74,32,1,https://www.eliteprospects.com/player/8860/pierre-turgeon,2005-2006,nhl,Pierre Turgeon,C,FW
Joni Pitkänen (D),Philadelphia Flyers,58,13,33,46,0.79,78,22,https://www.eliteprospects.com/player/2697/joni-pitkanen,2005-2006,nhl,Joni Pitkänen,D,DEF
Andrei Markov (D),Montréal Canadiens,67,10,36,46,0.69,74,13,https://www.eliteprospects.com/player/8579/andrei-markov,2005-2006,nhl,Andrei Markov,D,DEF
Jay Bouwmeester (D),Florida Panthers,82,5,41,46,0.56,79,1,https://www.eliteprospects.com/player/3659/jay-bouwmeester,2005-2006,nhl,Jay Bouwmeester,D,DEF
Mikael Samuelsson (RW),Detroit Red Wings,71,23,22,45,0.63,42,27,https://www.eliteprospects.com/player/736/mikael-samuelsson,2005-2006,nhl,Mikael Samuelsson,RW,FW
Ian Laperrière (RW),Colorado Avalanche,82,21,24,45,0.55,116,3,https://www.eliteprospects.com/player/8987/ian-laperriere,2005-2006,nhl,Ian Laperrière,RW,FW
Alexander Steen (C),Toronto Maple Leafs,75,18,27,45,0.6,42,-9,https://www.eliteprospects.com/player/460/alexander-steen,2005-2006,nhl,Alexander Steen,C,FW
Patrik Elias (LW),New Jersey Devils,38,16,29,45,1.18,20,11,https://www.eliteprospects.com/player/8698/patrik-elias,2005-2006,nhl,Patrik Elias,LW,FW
Tyler Arnason (C/LW),totals,79,13,32,45,0.57,44,1,https://www.eliteprospects.com/player/4746/tyler-arnason,2005-2006,nhl,Tyler Arnason,C/LW,FW
Kyle Wellwood (C),Toronto Maple Leafs,81,11,34,45,0.56,14,0,https://www.eliteprospects.com/player/8818/kyle-wellwood,2005-2006,nhl,Kyle Wellwood,C,FW
Mike Fisher (C),Ottawa Senators,68,22,22,44,0.65,64,23,https://www.eliteprospects.com/player/8771/mike-fisher,2005-2006,nhl,Mike Fisher,C,FW
Ryan Malone (LW),Pittsburgh Penguins,77,22,22,44,0.57,63,-22,https://www.eliteprospects.com/player/8721/ryan-malone,2005-2006,nhl,Ryan Malone,LW,FW
