player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def
Claude Giroux (W/C),Philadelphia Flyers,81,25,48,73,0.90,36,-3,https://www.eliteprospects.com/player/10437/claude-giroux,2014-2015,nhl,Claude Giroux,W/C,FW
Henrik Sedin (C),Vancouver Canucks,82,18,55,73,0.89,22,11,https://www.eliteprospects.com/player/738/henrik-sedin,2014-2015,nhl,Henrik Sedin,C,FW
Steven Stamkos (C/W),Tampa Bay Lightning,82,43,29,72,0.88,49,2,https://www.eliteprospects.com/player/11113/steven-stamkos,2014-2015,nhl,Steven Stamkos,C/W,FW
Tyler Johnson (C/RW),Tampa Bay Lightning,77,29,43,72,0.94,24,33,https://www.eliteprospects.com/player/12078/tyler-johnson,2014-2015,nhl,Tyler Johnson,C/RW,FW
Ryan Johansen (C),Columbus Blue Jackets,82,26,45,71,0.87,40,-6,https://www.eliteprospects.com/player/45512/ryan-johansen,2014-2015,nhl,Ryan Johansen,C,FW
Joe Pavelski (C/RW),San Jose Sharks,82,37,33,70,0.85,29,12,https://www.eliteprospects.com/player/10372/joe-pavelski,2014-2015,nhl,Joe Pavelski,C/RW,FW
Yevgeni Malkin (C),Pittsburgh Penguins,69,28,42,70,1.01,60,-2,https://www.eliteprospects.com/player/4231/yevgeni-malkin,2014-2015,nhl,Yevgeni Malkin,C,FW
Ryan Getzlaf (C),Anaheim Ducks,77,25,45,70,0.91,62,15,https://www.eliteprospects.com/player/8526/ryan-getzlaf,2014-2015,nhl,Ryan Getzlaf,C,FW
Rick Nash (LW/RW),New York Rangers,79,42,27,69,0.87,36,29,https://www.eliteprospects.com/player/3658/rick-nash,2014-2015,nhl,Rick Nash,LW/RW,FW
Max Pacioretty (LW),Montréal Canadiens,80,37,30,67,0.84,32,38,https://www.eliteprospects.com/player/12461/max-pacioretty,2014-2015,nhl,Max Pacioretty,LW,FW
Logan Couture (C/LW),San Jose Sharks,82,27,40,67,0.82,12,-6,https://www.eliteprospects.com/player/11109/logan-couture,2014-2015,nhl,Logan Couture,C/LW,FW
Jonathan Toews (C),Chicago Blackhawks,81,28,38,66,0.81,36,30,https://www.eliteprospects.com/player/8792/jonathan-toews,2014-2015,nhl,Jonathan Toews,C,FW
Erik Karlsson (D),Ottawa Senators,82,21,45,66,0.80,42,7,https://www.eliteprospects.com/player/9878/erik-karlsson,2014-2015,nhl,Erik Karlsson,D,DEF
Henrik Zetterberg (C),Detroit Red Wings,77,17,49,66,0.86,32,-6,https://www.eliteprospects.com/player/285/henrik-zetterberg,2014-2015,nhl,Henrik Zetterberg,C,FW
Nikita Kucherov (RW),Tampa Bay Lightning,82,29,36,65,0.79,37,38,https://www.eliteprospects.com/player/77237/nikita-kucherov,2014-2015,nhl,Nikita Kucherov,RW,FW
Pavel Datsyuk (C),Detroit Red Wings,63,26,39,65,1.03,8,12,https://www.eliteprospects.com/player/8615/pavel-datsyuk,2014-2015,nhl,Pavel Datsyuk,C,FW
Joe Thornton (C),San Jose Sharks,78,16,49,65,0.83,30,-4,https://www.eliteprospects.com/player/3670/joe-thornton,2014-2015,nhl,Joe Thornton,C,FW
Patrick Kane (RW/LW),Chicago Blackhawks,61,27,37,64,1.05,10,10,https://www.eliteprospects.com/player/9326/patrick-kane,2014-2015,nhl,Patrick Kane,RW/LW,FW
Mark Stone (RW),Ottawa Senators,80,26,38,64,0.80,14,21,https://www.eliteprospects.com/player/32806/mark-stone,2014-2015,nhl,Mark Stone,RW,FW
Alexander Steen (C),St. Louis Blues,74,24,40,64,0.86,33,8,https://www.eliteprospects.com/player/460/alexander-steen,2014-2015,nhl,Alexander Steen,C,FW
Johnny Gaudreau (LW),Calgary Flames,80,24,40,64,0.80,14,11,https://www.eliteprospects.com/player/88391/johnny-gaudreau,2014-2015,nhl,Johnny Gaudreau,LW,FW
Kyle Turris (C/RW),Ottawa Senators,82,24,40,64,0.78,36,5,https://www.eliteprospects.com/player/11345/kyle-turris,2014-2015,nhl,Kyle Turris,C/RW,FW
Anze Kopitar (C),Los Angeles Kings,79,16,48,64,0.81,10,-2,https://www.eliteprospects.com/player/4233/anze-kopitar,2014-2015,nhl,Anze Kopitar,C,FW
Radim Vrbata (RW/LW),Vancouver Canucks,79,31,32,63,0.80,20,6,https://www.eliteprospects.com/player/8626/radim-vrbata,2014-2015,nhl,Radim Vrbata,RW/LW,FW
Jaden Schwartz (LW),St. Louis Blues,75,28,35,63,0.84,16,13,https://www.eliteprospects.com/player/33907/jaden-schwartz,2014-2015,nhl,Jaden Schwartz,LW,FW
Filip Forsberg (W/C),Nashville Predators,82,26,37,63,0.77,24,15,https://www.eliteprospects.com/player/29626/filip-forsberg,2014-2015,nhl,Filip Forsberg,W/C,FW
Jordan Eberle (RW/C),Edmonton Oilers,81,24,39,63,0.78,24,-16,https://www.eliteprospects.com/player/11098/jordan-eberle,2014-2015,nhl,Jordan Eberle,RW/C,FW
Ondrej Palat (LW/RW),Tampa Bay Lightning,75,16,47,63,0.84,24,31,https://www.eliteprospects.com/player/18097/ondrej-palat,2014-2015,nhl,Ondrej Palat,LW/RW,FW
Zach Parise (LW/RW),Minnesota Wild,74,33,29,62,0.84,41,21,https://www.eliteprospects.com/player/8903/zach-parise,2014-2015,nhl,Zach Parise,LW/RW,FW
Sean Monahan (C),Calgary Flames,81,31,31,62,0.77,12,8,https://www.eliteprospects.com/player/85013/sean-monahan,2014-2015,nhl,Sean Monahan,C,FW
Jeff Carter (C),Los Angeles Kings,82,28,34,62,0.76,28,7,https://www.eliteprospects.com/player/8813/jeff-carter,2014-2015,nhl,Jeff Carter,C,FW
Andrew Ladd (LW),Winnipeg Jets,81,24,38,62,0.77,72,9,https://www.eliteprospects.com/player/6668/andrew-ladd,2014-2015,nhl,Andrew Ladd,LW,FW
Jason Spezza (C),Dallas Stars,82,17,45,62,0.76,28,-7,https://www.eliteprospects.com/player/3661/jason-spezza,2014-2015,nhl,Jason Spezza,C,FW
Mike Ribeiro (C),Nashville Predators,82,15,47,62,0.76,52,11,https://www.eliteprospects.com/player/8715/mike-ribeiro,2014-2015,nhl,Mike Ribeiro,C,FW
Blake Wheeler (RW/C),Winnipeg Jets,79,26,35,61,0.77,73,26,https://www.eliteprospects.com/player/9215/blake-wheeler,2014-2015,nhl,Blake Wheeler,RW/C,FW
Phil Kessel (RW),Toronto Maple Leafs,82,25,36,61,0.74,30,-34,https://www.eliteprospects.com/player/8793/phil-kessel,2014-2015,nhl,Phil Kessel,RW,FW
Marián Hossa (RW),Chicago Blackhawks,82,22,39,61,0.74,32,17,https://www.eliteprospects.com/player/4720/marian-hossa,2014-2015,nhl,Marián Hossa,RW,FW
Scott Hartnell (LW),Columbus Blue Jackets,77,28,32,60,0.78,100,1,https://www.eliteprospects.com/player/8764/scott-hartnell,2014-2015,nhl,Scott Hartnell,LW,FW
Tomas Plekanec (C),Montréal Canadiens,82,26,34,60,0.73,46,8,https://www.eliteprospects.com/player/8668/tomas-plekanec,2014-2015,nhl,Tomas Plekanec,C,FW
Derick Brassard (C/LW),New York Rangers,80,19,41,60,0.75,34,9,https://www.eliteprospects.com/player/9366/derick-brassard,2014-2015,nhl,Derick Brassard,C/LW,FW
Brent Burns (D),San Jose Sharks,82,17,43,60,0.73,65,-9,https://www.eliteprospects.com/player/9103/brent-burns,2014-2015,nhl,Brent Burns,D,DEF
P.K. Subban (D),Montréal Canadiens,82,15,45,60,0.73,74,21,https://www.eliteprospects.com/player/11251/p.k.-subban,2014-2015,nhl,P.K. Subban,D,DEF
Jarome Iginla (RW),Colorado Avalanche,82,29,30,59,0.72,42,0,https://www.eliteprospects.com/player/9036/jarome-iginla,2014-2015,nhl,Jarome Iginla,RW,FW
Gabriel Landeskog (LW/RW),Colorado Avalanche,82,23,36,59,0.72,79,-2,https://www.eliteprospects.com/player/10393/gabriel-landeskog,2014-2015,nhl,Gabriel Landeskog,LW/RW,FW
David Backes (RW/C),St. Louis Blues,80,26,32,58,0.73,104,7,https://www.eliteprospects.com/player/11435/david-backes,2014-2015,nhl,David Backes,RW/C,FW
Patrick Marleau (LW),San Jose Sharks,82,19,38,57,0.70,12,-17,https://www.eliteprospects.com/player/3671/patrick-marleau,2014-2015,nhl,Patrick Marleau,LW,FW
Tomas Tatar (LW/RW),Detroit Red Wings,82,29,27,56,0.68,28,6,https://www.eliteprospects.com/player/17750/tomas-tatar,2014-2015,nhl,Tomas Tatar,LW/RW,FW
James van Riemsdyk (LW/RW),Toronto Maple Leafs,82,27,29,56,0.68,43,-33,https://www.eliteprospects.com/player/9324/james-van-riemsdyk,2014-2015,nhl,James van Riemsdyk,LW/RW,FW
Ryan Nugent-Hopkins (C/W),Edmonton Oilers,76,24,32,56,0.74,25,-12,https://www.eliteprospects.com/player/25636/ryan-nugent-hopkins,2014-2015,nhl,Ryan Nugent-Hopkins,C/W,FW
Dennis Wideman (D),Calgary Flames,80,15,41,56,0.70,34,6,https://www.eliteprospects.com/player/8826/dennis-wideman,2014-2015,nhl,Dennis Wideman,D,DEF
Corey Perry (RW/LW),Anaheim Ducks,67,33,22,55,0.82,67,13,https://www.eliteprospects.com/player/8541/corey-perry,2014-2015,nhl,Corey Perry,RW/LW,FW
Patrice Bergeron (C),Boston Bruins,81,23,32,55,0.68,44,2,https://www.eliteprospects.com/player/9079/patrice-bergeron,2014-2015,nhl,Patrice Bergeron,C,FW
Alex Tanguay (LW),Colorado Avalanche,80,22,33,55,0.69,40,-1,https://www.eliteprospects.com/player/8779/alex-tanguay,2014-2015,nhl,Alex Tanguay,LW,FW
Matt Duchene (C/LW),Colorado Avalanche,82,21,34,55,0.67,16,3,https://www.eliteprospects.com/player/12571/matt-duchene,2014-2015,nhl,Matt Duchene,C/LW,FW
T.J. Oshie (RW),St. Louis Blues,72,19,36,55,0.76,51,17,https://www.eliteprospects.com/player/9209/t.j.-oshie,2014-2015,nhl,T.J. Oshie,RW,FW
Ryan O'Reilly (C),Colorado Avalanche,82,17,38,55,0.67,12,-5,https://www.eliteprospects.com/player/14371/ryan-o-reilly,2014-2015,nhl,Ryan O'Reilly,C,FW
Derek Stepan (C),New York Rangers,68,16,39,55,0.81,22,26,https://www.eliteprospects.com/player/19040/derek-stepan,2014-2015,nhl,Derek Stepan,C,FW
Roman Josi (D),Nashville Predators,81,15,40,55,0.68,26,15,https://www.eliteprospects.com/player/12668/roman-josi,2014-2015,nhl,Roman Josi,D,DEF
John Carlson (D),Washington Capitals,82,12,43,55,0.67,28,11,https://www.eliteprospects.com/player/18590/john-carlson,2014-2015,nhl,John Carlson,D,DEF
Gustav Nyquist (C/W),Detroit Red Wings,82,27,27,54,0.66,26,-11,https://www.eliteprospects.com/player/6223/gustav-nyquist,2014-2015,nhl,Gustav Nyquist,C/W,FW
Ryan Callahan (RW),Tampa Bay Lightning,77,24,30,54,0.70,41,9,https://www.eliteprospects.com/player/9437/ryan-callahan,2014-2015,nhl,Ryan Callahan,RW,FW
Eric Staal (C),Carolina Hurricanes,77,23,31,54,0.70,41,-13,https://www.eliteprospects.com/player/3656/eric-staal,2014-2015,nhl,Eric Staal,C,FW
Bobby Ryan (RW/LW),Ottawa Senators,78,18,36,54,0.69,24,5,https://www.eliteprospects.com/player/9210/bobby-ryan,2014-2015,nhl,Bobby Ryan,RW/LW,FW
Jason Pominville (RW),Minnesota Wild,82,18,36,54,0.66,8,9,https://www.eliteprospects.com/player/8809/jason-pominville,2014-2015,nhl,Jason Pominville,RW,FW
Jonathan Huberdeau (LW/RW),Florida Panthers,79,15,39,54,0.68,38,10,https://www.eliteprospects.com/player/45261/jonathan-huberdeau,2014-2015,nhl,Jonathan Huberdeau,LW/RW,FW
Kris Letang (D),Pittsburgh Penguins,69,11,43,54,0.78,79,12,https://www.eliteprospects.com/player/9189/kris-letang,2014-2015,nhl,Kris Letang,D,DEF
Tyson Barrie (D),Colorado Avalanche,80,12,41,53,0.66,26,5,https://www.eliteprospects.com/player/15127/tyson-barrie,2014-2015,nhl,Tyson Barrie,D,DEF
Bryan Little (C),Winnipeg Jets,70,24,28,52,0.74,24,8,https://www.eliteprospects.com/player/10426/bryan-little,2014-2015,nhl,Bryan Little,C,FW
Brandon Saad (LW/RW),Chicago Blackhawks,82,23,29,52,0.63,12,7,https://www.eliteprospects.com/player/31264/brandon-saad,2014-2015,nhl,Brandon Saad,LW/RW,FW
Martin St-Louis (RW),New York Rangers,74,21,31,52,0.70,20,12,https://www.eliteprospects.com/player/8772/martin-st-louis,2014-2015,nhl,Martin St-Louis,RW,FW
Thomas Vanek (LW/RW),Minnesota Wild,80,21,31,52,0.65,37,-6,https://www.eliteprospects.com/player/8493/thomas-vanek,2014-2015,nhl,Thomas Vanek,LW/RW,FW
Mark Streit (D),Philadelphia Flyers,81,9,43,52,0.64,36,-8,https://www.eliteprospects.com/player/4092/mark-streit,2014-2015,nhl,Mark Streit,D,DEF
Keith Yandle (D),totals,84,6,46,52,0.62,40,-26,https://www.eliteprospects.com/player/10247/keith-yandle,2014-2015,nhl,Keith Yandle,D,DEF
Patric Hörnqvist (RW),Pittsburgh Penguins,64,25,26,51,0.80,38,12,https://www.eliteprospects.com/player/3683/patric-hornqvist,2014-2015,nhl,Patric Hörnqvist,RW,FW
Kyle Okposo (RW/C),New York Islanders,60,18,33,51,0.85,12,-8,https://www.eliteprospects.com/player/10458/kyle-okposo,2014-2015,nhl,Kyle Okposo,RW/C,FW
Wayne Simmonds (RW),Philadelphia Flyers,75,28,22,50,0.67,66,-5,https://www.eliteprospects.com/player/12517/wayne-simmonds,2014-2015,nhl,Wayne Simmonds,RW,FW
Ryan Strome (C/RW),New York Islanders,81,17,33,50,0.62,47,23,https://www.eliteprospects.com/player/44789/ryan-strome,2014-2015,nhl,Ryan Strome,C/RW,FW
Andrei Markov (D),Montréal Canadiens,81,10,40,50,0.62,38,22,https://www.eliteprospects.com/player/8579/andrei-markov,2014-2015,nhl,Andrei Markov,D,DEF
Tyler Toffoli (C/W),Los Angeles Kings,76,23,26,49,0.64,37,25,https://www.eliteprospects.com/player/23813/tyler-toffoli,2014-2015,nhl,Tyler Toffoli,C/W,FW
Tyler Bozak (C),Toronto Maple Leafs,82,23,26,49,0.60,44,-34,https://www.eliteprospects.com/player/11589/tyler-bozak,2014-2015,nhl,Tyler Bozak,C,FW
Mats Zuccarello (RW/LW),New York Rangers,78,15,34,49,0.63,45,17,https://www.eliteprospects.com/player/10881/mats-zuccarello,2014-2015,nhl,Mats Zuccarello,RW/LW,FW
Mark Scheifele (C),Winnipeg Jets,82,15,34,49,0.60,24,11,https://www.eliteprospects.com/player/75379/mark-scheifele,2014-2015,nhl,Mark Scheifele,C,FW
Justin Faulk (D),Carolina Hurricanes,82,15,34,49,0.60,30,-19,https://www.eliteprospects.com/player/20715/justin-faulk,2014-2015,nhl,Justin Faulk,D,DEF
Mike Hoffman (LW/C),Ottawa Senators,79,27,21,48,0.61,14,16,https://www.eliteprospects.com/player/18800/mike-hoffman,2014-2015,nhl,Mike Hoffman,LW/C,FW
Mikko Koivu (C),Minnesota Wild,80,14,34,48,0.60,38,2,https://www.eliteprospects.com/player/2696/mikko-koivu,2014-2015,nhl,Mikko Koivu,C,FW
David Desharnais (C/LW),Montréal Canadiens,82,14,34,48,0.59,24,22,https://www.eliteprospects.com/player/11122/david-desharnais,2014-2015,nhl,David Desharnais,C/LW,FW
Valtteri Filppula (C/LW),Tampa Bay Lightning,82,12,36,48,0.59,24,-14,https://www.eliteprospects.com/player/3197/valtteri-filppula,2014-2015,nhl,Valtteri Filppula,C/LW,FW
Mark Giordano (D),Calgary Flames,61,11,37,48,0.79,37,13,https://www.eliteprospects.com/player/9161/mark-giordano,2014-2015,nhl,Mark Giordano,D,DEF
Marián Gáborík (RW),Los Angeles Kings,69,27,20,47,0.68,16,7,https://www.eliteprospects.com/player/3665/marian-gaborik,2014-2015,nhl,Marián Gáborík,RW,FW
Brendan Gallagher (RW),Montréal Canadiens,82,24,23,47,0.57,31,18,https://www.eliteprospects.com/player/25705/brendan-gallagher,2014-2015,nhl,Brendan Gallagher,RW,FW
Loui Eriksson (LW),Boston Bruins,81,22,25,47,0.58,14,1,https://www.eliteprospects.com/player/683/loui-eriksson,2014-2015,nhl,Loui Eriksson,LW,FW
Ryan Kesler (C),Anaheim Ducks,81,20,27,47,0.58,75,-5,https://www.eliteprospects.com/player/9014/ryan-kesler,2014-2015,nhl,Ryan Kesler,C,FW
Marcus Johansson (C/LW),Washington Capitals,82,20,27,47,0.57,10,6,https://www.eliteprospects.com/player/6225/marcus-johansson,2014-2015,nhl,Marcus Johansson,C/LW,FW
Brayden Schenn (C/W),Philadelphia Flyers,82,18,29,47,0.57,34,-5,https://www.eliteprospects.com/player/14739/brayden-schenn,2014-2015,nhl,Brayden Schenn,C/W,FW
Jaromír Jágr (RW),totals,77,17,30,47,0.61,48,-3,https://www.eliteprospects.com/player/8627/jaromir-jagr,2014-2015,nhl,Jaromír Jágr,RW,FW
Chris Kreider (LW/RW),New York Rangers,80,21,25,46,0.58,88,24,https://www.eliteprospects.com/player/37998/chris-kreider,2014-2015,nhl,Chris Kreider,LW/RW,FW
Tyler Ennis (RW/LW),Buffalo Sabres,78,20,26,46,0.59,37,-19,https://www.eliteprospects.com/player/11667/tyler-ennis,2014-2015,nhl,Tyler Ennis,RW/LW,FW
Mika Zibanejad (C/RW),Ottawa Senators,80,20,26,46,0.58,20,0,https://www.eliteprospects.com/player/23856/mika-zibanejad,2014-2015,nhl,Mika Zibanejad,C/RW,FW
Alexander Galchenyuk (C/RW),Montréal Canadiens,80,20,26,46,0.58,39,8,https://www.eliteprospects.com/player/74611/alexander-galchenyuk,2014-2015,nhl,Alexander Galchenyuk,C/RW,FW
Paul Stastny (C),St. Louis Blues,74,16,30,46,0.62,40,5,https://www.eliteprospects.com/player/10212/paul-stastny,2014-2015,nhl,Paul Stastny,C,FW
Alex Pietrangelo (D),St. Louis Blues,81,7,39,46,0.57,28,-2,https://www.eliteprospects.com/player/11317/alex-pietrangelo,2014-2015,nhl,Alex Pietrangelo,D,DEF
Drew Doughty (D),Los Angeles Kings,82,7,39,46,0.56,56,3,https://www.eliteprospects.com/player/10430/drew-doughty,2014-2015,nhl,Drew Doughty,D,DEF
Dustin Byfuglien (D),Winnipeg Jets,69,18,27,45,0.65,124,5,https://www.eliteprospects.com/player/10667/dustin-byfuglien,2014-2015,nhl,Dustin Byfuglien,D,DEF
Kevin Hayes (C/LW),New York Rangers,79,17,28,45,0.57,22,15,https://www.eliteprospects.com/player/40243/kevin-hayes,2014-2015,nhl,Kevin Hayes,C/LW,FW
Shea Weber (D),Nashville Predators,78,15,30,45,0.58,72,15,https://www.eliteprospects.com/player/9505/shea-weber,2014-2015,nhl,Shea Weber,D,DEF
Mike Green (D),Washington Capitals,72,10,35,45,0.63,34,15,https://www.eliteprospects.com/player/9476/mike-green,2014-2015,nhl,Mike Green,D,DEF
Duncan Keith (D),Chicago Blackhawks,80,10,35,45,0.56,20,12,https://www.eliteprospects.com/player/9012/duncan-keith,2014-2015,nhl,Duncan Keith,D,DEF
Justin Abdelkader (LW/RW),Detroit Red Wings,71,23,21,44,0.62,72,3,https://www.eliteprospects.com/player/10460/justin-abdelkader,2014-2015,nhl,Justin Abdelkader,LW/RW,FW
Craig Smith (C/RW),Nashville Predators,82,23,21,44,0.54,44,11,https://www.eliteprospects.com/player/27038/craig-smith,2014-2015,nhl,Craig Smith,C/RW,FW
Milan Lucic (LW),Boston Bruins,81,18,26,44,0.54,81,13,https://www.eliteprospects.com/player/11104/milan-lucic,2014-2015,nhl,Milan Lucic,LW,FW
Jori Lehterä (C),St. Louis Blues,75,14,30,44,0.59,48,21,https://www.eliteprospects.com/player/8042/jori-lehtera,2014-2015,nhl,Jori Lehterä,C,FW
Carl Söderberg (C),Boston Bruins,82,13,31,44,0.54,26,10,https://www.eliteprospects.com/player/665/carl-soderberg,2014-2015,nhl,Carl Söderberg,C,FW
Niklas Kronwall (D),Detroit Red Wings,80,9,35,44,0.55,40,-4,https://www.eliteprospects.com/player/69/niklas-kronwall,2014-2015,nhl,Niklas Kronwall,D,DEF
Kevin Shattenkirk (D),St. Louis Blues,56,8,36,44,0.79,52,19,https://www.eliteprospects.com/player/11460/kevin-shattenkirk,2014-2015,nhl,Kevin Shattenkirk,D,DEF
Jussi Jokinen (W/C),Florida Panthers,81,8,36,44,0.54,34,-2,https://www.eliteprospects.com/player/2716/jussi-jokinen,2014-2015,nhl,Jussi Jokinen,W/C,FW
Nick Bjugstad (C/RW),Florida Panthers,72,24,19,43,0.60,38,-7,https://www.eliteprospects.com/player/40265/nick-bjugstad,2014-2015,nhl,Nick Bjugstad,C/RW,FW
Oliver Ekman Larsson (D),Arizona Coyotes,82,23,20,43,0.52,40,-18,https://www.eliteprospects.com/player/7693/oliver-ekman-larsson,2014-2015,nhl,Oliver Ekman Larsson,D,DEF
Troy Brouwer (RW/LW),Washington Capitals,82,21,22,43,0.52,53,11,https://www.eliteprospects.com/player/10669/troy-brouwer,2014-2015,nhl,Troy Brouwer,RW/LW,FW
Drew Stafford (RW),totals,76,18,25,43,0.57,47,-12,https://www.eliteprospects.com/player/9180/drew-stafford,2014-2015,nhl,Drew Stafford,RW,FW
Patrick Sharp (LW/RW),Chicago Blackhawks,68,16,27,43,0.63,33,-8,https://www.eliteprospects.com/player/8880/patrick-sharp,2014-2015,nhl,Patrick Sharp,LW/RW,FW
Adam Henrique (C/LW),New Jersey Devils,75,16,27,43,0.57,34,-6,https://www.eliteprospects.com/player/19043/adam-henrique,2014-2015,nhl,Adam Henrique,C/LW,FW
Frans Nielsen (C),New York Islanders,78,14,29,43,0.55,12,8,https://www.eliteprospects.com/player/210/frans-nielsen,2014-2015,nhl,Frans Nielsen,C,FW
Michael Cammalleri (LW),New Jersey Devils,68,27,15,42,0.62,28,2,https://www.eliteprospects.com/player/9104/michael-cammalleri,2014-2015,nhl,Michael Cammalleri,LW,FW
Brad Marchand (W/C),Boston Bruins,77,24,18,42,0.55,95,5,https://www.eliteprospects.com/player/10439/brad-marchand,2014-2015,nhl,Brad Marchand,W/C,FW
Colin Wilson (LW/C),Nashville Predators,77,20,22,42,0.55,22,19,https://www.eliteprospects.com/player/9325/colin-wilson,2014-2015,nhl,Colin Wilson,LW/C,FW
Brock Nelson (C),New York Islanders,82,20,22,42,0.51,24,6,https://www.eliteprospects.com/player/74997/brock-nelson,2014-2015,nhl,Brock Nelson,C,FW
Michael Frolík (RW/LW),Winnipeg Jets,82,19,23,42,0.51,18,4,https://www.eliteprospects.com/player/8701/michael-frolik,2014-2015,nhl,Michael Frolík,RW/LW,FW
Dougie Hamilton (D),Boston Bruins,72,10,32,42,0.58,41,-3,https://www.eliteprospects.com/player/45596/dougie-hamilton,2014-2015,nhl,Dougie Hamilton,D,DEF
Anders Lee (LW),New York Islanders,76,25,16,41,0.54,33,9,https://www.eliteprospects.com/player/19068/anders-lee,2014-2015,nhl,Anders Lee,LW,FW
Mathieu Perreault (C),Winnipeg Jets,62,18,23,41,0.66,38,7,https://www.eliteprospects.com/player/10441/mathieu-perreault,2014-2015,nhl,Mathieu Perreault,C,FW
Justin Williams (RW),Los Angeles Kings,81,18,23,41,0.51,29,8,https://www.eliteprospects.com/player/4506/justin-williams,2014-2015,nhl,Justin Williams,RW,FW
David Perron (LW/RW),totals,81,17,24,41,0.51,62,-25,https://www.eliteprospects.com/player/11123/david-perron,2014-2015,nhl,David Perron,LW/RW,FW
Josh Bailey (RW/C),New York Islanders,70,15,26,41,0.59,12,3,https://www.eliteprospects.com/player/14013/josh-bailey,2014-2015,nhl,Josh Bailey,RW/C,FW
Sam Gagner (C/RW),Arizona Coyotes,81,15,26,41,0.51,28,-28,https://www.eliteprospects.com/player/10425/sam-gagner,2014-2015,nhl,Sam Gagner,C/RW,FW
Matt Moulson (LW/RW),Buffalo Sabres,77,13,28,41,0.53,4,-11,https://www.eliteprospects.com/player/9744/matt-moulson,2014-2015,nhl,Matt Moulson,LW/RW,FW
T.J. Brodie (D),Calgary Flames,81,11,30,41,0.51,30,15,https://www.eliteprospects.com/player/19170/t.j.-brodie,2014-2015,nhl,T.J. Brodie,D,DEF
Jake Muzzin (D),Los Angeles Kings,76,10,31,41,0.54,22,-4,https://www.eliteprospects.com/player/13614/jake-muzzin,2014-2015,nhl,Jake Muzzin,D,DEF
Cam Atkinson (RW/LW),Columbus Blue Jackets,78,22,18,40,0.51,22,-2,https://www.eliteprospects.com/player/19166/cam-atkinson,2014-2015,nhl,Cam Atkinson,RW/LW,FW
Cody Eakin (C),Dallas Stars,78,19,21,40,0.51,26,-1,https://www.eliteprospects.com/player/23166/cody-eakin,2014-2015,nhl,Cody Eakin,C,FW
Chris Kunitz (LW),Pittsburgh Penguins,74,17,23,40,0.54,56,2,https://www.eliteprospects.com/player/8523/chris-kunitz,2014-2015,nhl,Chris Kunitz,LW,FW
Reilly Smith (RW/LW),Boston Bruins,81,13,27,40,0.49,20,7,https://www.eliteprospects.com/player/33903/reilly-smith,2014-2015,nhl,Reilly Smith,RW/LW,FW
John Klingberg (D),Dallas Stars,65,11,29,40,0.62,32,5,https://www.eliteprospects.com/player/21717/john-klingberg,2014-2015,nhl,John Klingberg,D,DEF
Jack Johnson (D),Columbus Blue Jackets,79,8,32,40,0.51,44,-13,https://www.eliteprospects.com/player/9205/jack-johnson,2014-2015,nhl,Jack Johnson,D,DEF
Erik Cole (LW),totals,68,21,18,39,0.57,14,2,https://www.eliteprospects.com/player/8732/erik-cole,2014-2015,nhl,Erik Cole,LW,FW
