player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def
Mikkel Bødker (LW),totals,80,17,34,51,0.64,12,-33,https://www.eliteprospects.com/player/5996/mikkel-bodker,2015-2016,nhl,Mikkel Bødker,LW,FW
Drew Doughty (D),Los Angeles Kings,82,14,37,51,0.62,52,24,https://www.eliteprospects.com/player/10430/drew-doughty,2015-2016,nhl,Drew Doughty,D,DEF
Carl Söderberg (C),Colorado Avalanche,82,12,39,51,0.62,32,-7,https://www.eliteprospects.com/player/665/carl-soderberg,2015-2016,nhl,Carl Söderberg,C,FW
Ryan Suter (D),Minnesota Wild,82,8,43,51,0.62,30,10,https://www.eliteprospects.com/player/8897/ryan-suter,2015-2016,nhl,Ryan Suter,D,DEF
P.K. Subban (D),Montréal Canadiens,68,6,45,51,0.75,75,4,https://www.eliteprospects.com/player/11251/p.k.-subban,2015-2016,nhl,P.K. Subban,D,DEF
Adam Henrique (C/LW),New Jersey Devils,80,30,20,50,0.63,23,10,https://www.eliteprospects.com/player/19043/adam-henrique,2015-2016,nhl,Adam Henrique,C/LW,FW
Reilly Smith (RW/LW),Florida Panthers,82,25,25,50,0.61,31,19,https://www.eliteprospects.com/player/33903/reilly-smith,2015-2016,nhl,Reilly Smith,RW/LW,FW
Henrik Zetterberg (C),Detroit Red Wings,82,13,37,50,0.61,24,-15,https://www.eliteprospects.com/player/285/henrik-zetterberg,2015-2016,nhl,Henrik Zetterberg,C,FW
Mike Ribeiro (C),Nashville Predators,81,7,43,50,0.62,62,11,https://www.eliteprospects.com/player/8715/mike-ribeiro,2015-2016,nhl,Mike Ribeiro,C,FW
Boone Jenner (C/LW),Columbus Blue Jackets,82,30,19,49,0.60,77,-15,https://www.eliteprospects.com/player/45587/boone-jenner,2015-2016,nhl,Boone Jenner,C/LW,FW
Scott Hartnell (LW),Columbus Blue Jackets,79,23,26,49,0.62,112,-11,https://www.eliteprospects.com/player/8764/scott-hartnell,2015-2016,nhl,Scott Hartnell,LW,FW
Pavel Datsyuk (C),Detroit Red Wings,66,16,33,49,0.74,14,7,https://www.eliteprospects.com/player/8615/pavel-datsyuk,2015-2016,nhl,Pavel Datsyuk,C,FW
Brent Seabrook (D),Chicago Blackhawks,81,14,35,49,0.60,32,6,https://www.eliteprospects.com/player/8879/brent-seabrook,2015-2016,nhl,Brent Seabrook,D,DEF
Tyson Barrie (D),Colorado Avalanche,78,13,36,49,0.63,31,-16,https://www.eliteprospects.com/player/15127/tyson-barrie,2015-2016,nhl,Tyson Barrie,D,DEF
Ryan Spooner (C),Boston Bruins,80,13,36,49,0.61,35,-9,https://www.eliteprospects.com/player/23117/ryan-spooner,2015-2016,nhl,Ryan Spooner,C,FW
Paul Stastny (C),St. Louis Blues,64,10,39,49,0.77,26,3,https://www.eliteprospects.com/player/10212/paul-stastny,2015-2016,nhl,Paul Stastny,C,FW
Patrick Marleau (LW),San Jose Sharks,82,25,23,48,0.59,10,-22,https://www.eliteprospects.com/player/3671/patrick-marleau,2015-2016,nhl,Patrick Marleau,LW,FW
Victor Rask (C/LW),Carolina Hurricanes,80,21,27,48,0.60,24,-6,https://www.eliteprospects.com/player/15747/victor-rask,2015-2016,nhl,Victor Rask,C/LW,FW
Jordan Staal (C),Carolina Hurricanes,82,20,28,48,0.59,34,6,https://www.eliteprospects.com/player/10157/jordan-staal,2015-2016,nhl,Jordan Staal,C,FW
Brandon Dubinsky (C/LW),Columbus Blue Jackets,75,17,31,48,0.64,71,-16,https://www.eliteprospects.com/player/11024/brandon-dubinsky,2015-2016,nhl,Brandon Dubinsky,C/LW,FW
Connor McDavid (C/LW),Edmonton Oilers,45,16,32,48,1.07,18,-1,https://www.eliteprospects.com/player/183442/connor-mcdavid,2015-2016,nhl,Connor McDavid,C/LW,FW
Shane Doan (RW),Arizona Coyotes,72,28,19,47,0.65,98,4,https://www.eliteprospects.com/player/9137/shane-doan,2015-2016,nhl,Shane Doan,RW,FW
Jordan Eberle (RW/C),Edmonton Oilers,69,25,22,47,0.68,14,-12,https://www.eliteprospects.com/player/11098/jordan-eberle,2015-2016,nhl,Jordan Eberle,RW/C,FW
Jarome Iginla (RW),Colorado Avalanche,82,22,25,47,0.57,41,-22,https://www.eliteprospects.com/player/9036/jarome-iginla,2015-2016,nhl,Jarome Iginla,RW,FW
Mikael Backlund (C/LW),Calgary Flames,82,21,26,47,0.57,28,10,https://www.eliteprospects.com/player/4295/mikael-backlund,2015-2016,nhl,Mikael Backlund,C/LW,FW
Victor Hedman (D),Tampa Bay Lightning,78,10,37,47,0.60,46,21,https://www.eliteprospects.com/player/6007/victor-hedman,2015-2016,nhl,Victor Hedman,D,DEF
Keith Yandle (D),New York Rangers,82,5,42,47,0.57,40,-4,https://www.eliteprospects.com/player/10247/keith-yandle,2015-2016,nhl,Keith Yandle,D,DEF
Andrew Ladd (LW),totals,78,25,21,46,0.59,45,-13,https://www.eliteprospects.com/player/6668/andrew-ladd,2015-2016,nhl,Andrew Ladd,LW,FW
Tomas Hertl (C/LW),San Jose Sharks,81,21,25,46,0.57,26,16,https://www.eliteprospects.com/player/56038/tomas-hertl,2015-2016,nhl,Tomas Hertl,C/LW,FW
Shayne Gostisbehere (D),Philadelphia Flyers,64,17,29,46,0.72,24,8,https://www.eliteprospects.com/player/122787/shayne-gostisbehere,2015-2016,nhl,Shayne Gostisbehere,D,DEF
Marcus Johansson (C/LW),Washington Capitals,74,17,29,46,0.62,16,12,https://www.eliteprospects.com/player/6225/marcus-johansson,2015-2016,nhl,Marcus Johansson,C/LW,FW
Jiri Hudler (W/C),totals,72,16,30,46,0.64,27,-1,https://www.eliteprospects.com/player/6665/jiri-hudler,2015-2016,nhl,Jiri Hudler,W/C,FW
Dylan Larkin (C),Detroit Red Wings,80,23,22,45,0.56,34,11,https://www.eliteprospects.com/player/177693/dylan-larkin,2015-2016,nhl,Dylan Larkin,C,FW
David Backes (RW/C),St. Louis Blues,79,21,24,45,0.57,83,4,https://www.eliteprospects.com/player/11435/david-backes,2015-2016,nhl,David Backes,RW/C,FW
Tomas Tatar (LW/RW),Detroit Red Wings,81,21,24,45,0.56,24,4,https://www.eliteprospects.com/player/17750/tomas-tatar,2015-2016,nhl,Tomas Tatar,LW/RW,FW
Nazem Kadri (C/LW),Toronto Maple Leafs,76,17,28,45,0.59,73,-15,https://www.eliteprospects.com/player/14728/nazem-kadri,2015-2016,nhl,Nazem Kadri,C/LW,FW
T.J. Brodie (D),Calgary Flames,70,6,39,45,0.64,18,4,https://www.eliteprospects.com/player/19170/t.j.-brodie,2015-2016,nhl,T.J. Brodie,D,DEF
Anthony Duclair (W/C),Arizona Coyotes,81,20,24,44,0.54,49,12,https://www.eliteprospects.com/player/98665/anthony-duclair,2015-2016,nhl,Anthony Duclair,W/C,FW
Joe Colborne (C/W),Calgary Flames,73,19,25,44,0.60,27,-9,https://www.eliteprospects.com/player/18593/joe-colborne,2015-2016,nhl,Joe Colborne,C/W,FW
Kevin Shattenkirk (D),St. Louis Blues,72,14,30,44,0.61,51,-14,https://www.eliteprospects.com/player/11460/kevin-shattenkirk,2015-2016,nhl,Kevin Shattenkirk,D,DEF
Mikael Granlund (C/W),Minnesota Wild,82,13,31,44,0.54,20,-12,https://www.eliteprospects.com/player/16037/mikael-granlund,2015-2016,nhl,Mikael Granlund,C/W,FW
Andrei Markov (D),Montréal Canadiens,82,5,39,44,0.54,38,-6,https://www.eliteprospects.com/player/8579/andrei-markov,2015-2016,nhl,Andrei Markov,D,DEF
Torey Krug (D),Boston Bruins,81,4,40,44,0.54,33,9,https://www.eliteprospects.com/player/37747/torey-krug,2015-2016,nhl,Torey Krug,D,DEF
J.T. Miller (C/W),New York Rangers,82,22,21,43,0.52,46,10,https://www.eliteprospects.com/player/38624/j.t.-miller,2015-2016,nhl,J.T. Miller,C/W,FW
Joel Ward (RW),San Jose Sharks,79,21,22,43,0.54,28,-15,https://www.eliteprospects.com/player/11014/joel-ward,2015-2016,nhl,Joel Ward,RW,FW
Chris Kreider (LW/RW),New York Rangers,79,21,22,43,0.54,58,10,https://www.eliteprospects.com/player/37998/chris-kreider,2015-2016,nhl,Chris Kreider,LW/RW,FW
Rickard Rakell (W/C),Anaheim Ducks,72,20,23,43,0.60,19,-1,https://www.eliteprospects.com/player/17435/rickard-rakell,2015-2016,nhl,Rickard Rakell,W/C,FW
Nino Niederreiter (RW/LW),Minnesota Wild,82,20,23,43,0.52,36,9,https://www.eliteprospects.com/player/17679/nino-niederreiter,2015-2016,nhl,Nino Niederreiter,RW/LW,FW
Jean-Gabriel Pageau (C),Ottawa Senators,82,19,24,43,0.52,26,17,https://www.eliteprospects.com/player/45134/jean-gabriel-pageau,2015-2016,nhl,Jean-Gabriel Pageau,C,FW
Gustav Nyquist (C/W),Detroit Red Wings,82,17,26,43,0.52,34,-2,https://www.eliteprospects.com/player/6223/gustav-nyquist,2015-2016,nhl,Gustav Nyquist,C/W,FW
Teddy Purcell (LW/RW),totals,76,14,29,43,0.57,12,-11,https://www.eliteprospects.com/player/14179/teddy-purcell,2015-2016,nhl,Teddy Purcell,LW/RW,FW
Dougie Hamilton (D),Calgary Flames,82,12,31,43,0.52,46,-14,https://www.eliteprospects.com/player/45596/dougie-hamilton,2015-2016,nhl,Dougie Hamilton,D,DEF
Duncan Keith (D),Chicago Blackhawks,67,9,34,43,0.64,26,13,https://www.eliteprospects.com/player/9012/duncan-keith,2015-2016,nhl,Duncan Keith,D,DEF
Sam Reinhart (C/RW),Buffalo Sabres,79,23,19,42,0.53,8,-8,https://www.eliteprospects.com/player/95032/sam-reinhart,2015-2016,nhl,Sam Reinhart,C/RW,FW
Charlie Coyle (C/RW),Minnesota Wild,82,21,21,42,0.51,16,1,https://www.eliteprospects.com/player/60251/charlie-coyle,2015-2016,nhl,Charlie Coyle,C/RW,FW
Artyom Anisimov (C/LW),Chicago Blackhawks,77,20,22,42,0.55,12,8,https://www.eliteprospects.com/player/9300/artyom-anisimov,2015-2016,nhl,Artyom Anisimov,C/LW,FW
Justin Abdelkader (LW/RW),Detroit Red Wings,82,19,23,42,0.51,120,-16,https://www.eliteprospects.com/player/10460/justin-abdelkader,2015-2016,nhl,Justin Abdelkader,LW/RW,FW
Bryan Little (C),Winnipeg Jets,57,17,25,42,0.74,12,-13,https://www.eliteprospects.com/player/10426/bryan-little,2015-2016,nhl,Bryan Little,C,FW
Travis Zajac (C/RW),New Jersey Devils,74,14,28,42,0.57,25,3,https://www.eliteprospects.com/player/10232/travis-zajac,2015-2016,nhl,Travis Zajac,C/RW,FW
Pierre-Alexandre Parenteau (RW),Toronto Maple Leafs,77,20,21,41,0.53,68,0,https://www.eliteprospects.com/player/9520/pierre-alexandre-parenteau,2015-2016,nhl,Pierre-Alexandre Parenteau,RW,FW
Thomas Vanek (LW/RW),Minnesota Wild,74,18,23,41,0.55,22,-10,https://www.eliteprospects.com/player/8493/thomas-vanek,2015-2016,nhl,Thomas Vanek,LW/RW,FW
Mathieu Perreault (C),Winnipeg Jets,71,9,32,41,0.58,36,-11,https://www.eliteprospects.com/player/10441/mathieu-perreault,2015-2016,nhl,Mathieu Perreault,C,FW
Rasmus Ristolainen (D),Buffalo Sabres,82,9,32,41,0.50,33,-21,https://www.eliteprospects.com/player/43497/rasmus-ristolainen,2015-2016,nhl,Rasmus Ristolainen,D,DEF
Brock Nelson (C),New York Islanders,81,26,14,40,0.49,30,-3,https://www.eliteprospects.com/player/74997/brock-nelson,2015-2016,nhl,Brock Nelson,C,FW
Jason Chimera (LW/RW),Washington Capitals,82,20,20,40,0.49,22,0,https://www.eliteprospects.com/player/8762/jason-chimera,2015-2016,nhl,Jason Chimera,LW/RW,FW
Brendan Gallagher (RW),Montréal Canadiens,53,19,21,40,0.75,24,13,https://www.eliteprospects.com/player/25705/brendan-gallagher,2015-2016,nhl,Brendan Gallagher,RW,FW
