player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,player_name,position,fw_def
Valtteri Filppula (C/LW),Detroit Red Wings,81,23,43,66,0.81,14,18,https://www.eliteprospects.com/player/3197/valtteri-filppula,2011-2012,nhl,Valtteri Filppula,C/LW,FW
Patrick Kane (RW/LW),Chicago Blackhawks,82,23,43,66,0.8,40,7,https://www.eliteprospects.com/player/9326/patrick-kane,2011-2012,nhl,Patrick Kane,RW/LW,FW
Alexander Ovechkin (LW),Washington Capitals,78,38,27,65,0.83,26,-8,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2011-2012,nhl,Alexander Ovechkin,LW,FW
Max Pacioretty (LW),Montréal Canadiens,79,33,32,65,0.82,56,2,https://www.eliteprospects.com/player/12461/max-pacioretty,2011-2012,nhl,Max Pacioretty,LW,FW
Logan Couture (C/LW),San Jose Sharks,80,31,34,65,0.81,16,2,https://www.eliteprospects.com/player/11109/logan-couture,2011-2012,nhl,Logan Couture,C/LW,FW
Teddy Purcell (LW/RW),Tampa Bay Lightning,81,24,41,65,0.8,16,9,https://www.eliteprospects.com/player/14179/teddy-purcell,2011-2012,nhl,Teddy Purcell,LW/RW,FW
Patrick Marleau (LW),San Jose Sharks,82,30,34,64,0.78,26,10,https://www.eliteprospects.com/player/3671/patrick-marleau,2011-2012,nhl,Patrick Marleau,LW,FW
Patrice Bergeron (C),Boston Bruins,81,22,42,64,0.79,20,36,https://www.eliteprospects.com/player/9079/patrice-bergeron,2011-2012,nhl,Patrice Bergeron,C,FW
Blake Wheeler (RW/C),Winnipeg Jets,80,17,47,64,0.8,55,3,https://www.eliteprospects.com/player/9215/blake-wheeler,2011-2012,nhl,Blake Wheeler,RW/C,FW
Jamie Benn (LW/C),Dallas Stars,71,26,37,63,0.89,55,15,https://www.eliteprospects.com/player/15399/jamie-benn,2011-2012,nhl,Jamie Benn,LW/C,FW
Mike Ribeiro (C),Dallas Stars,74,18,45,63,0.85,66,5,https://www.eliteprospects.com/player/8715/mike-ribeiro,2011-2012,nhl,Mike Ribeiro,C,FW
Radim Vrbata (RW/LW),Phoenix Coyotes,77,35,27,62,0.81,24,24,https://www.eliteprospects.com/player/8626/radim-vrbata,2011-2012,nhl,Radim Vrbata,RW/LW,FW
Michael Ryder (RW),Dallas Stars,82,35,27,62,0.76,46,17,https://www.eliteprospects.com/player/4487/michael-ryder,2011-2012,nhl,Michael Ryder,RW,FW
David Krejčí (C),Boston Bruins,79,23,39,62,0.78,36,-5,https://www.eliteprospects.com/player/9226/david-krejci,2011-2012,nhl,David Krejčí,C,FW
Erik Cole (LW),Montréal Canadiens,82,35,26,61,0.74,48,11,https://www.eliteprospects.com/player/8732/erik-cole,2011-2012,nhl,Erik Cole,LW,FW
Joe Pavelski (C/RW),San Jose Sharks,82,31,30,61,0.74,31,18,https://www.eliteprospects.com/player/10372/joe-pavelski,2011-2012,nhl,Joe Pavelski,C/RW,FW
Tomas Fleischmann (LW),Florida Panthers,82,27,34,61,0.74,26,-7,https://www.eliteprospects.com/player/9613/tomas-fleischmann,2011-2012,nhl,Tomas Fleischmann,LW,FW
Thomas Vanek (LW/RW),Buffalo Sabres,78,26,35,61,0.78,52,-6,https://www.eliteprospects.com/player/8493/thomas-vanek,2011-2012,nhl,Thomas Vanek,LW/RW,FW
Milan Lucic (LW),Boston Bruins,81,26,35,61,0.75,135,7,https://www.eliteprospects.com/player/11104/milan-lucic,2011-2012,nhl,Milan Lucic,LW,FW
Chris Kunitz (LW),Pittsburgh Penguins,82,26,35,61,0.74,49,16,https://www.eliteprospects.com/player/8523/chris-kunitz,2011-2012,nhl,Chris Kunitz,LW,FW
Olli Jokinen (C),Calgary Flames,82,23,38,61,0.74,54,-12,https://www.eliteprospects.com/player/2679/olli-jokinen,2011-2012,nhl,Olli Jokinen,C,FW
Corey Perry (RW/LW),Anaheim Ducks,80,37,23,60,0.75,127,-7,https://www.eliteprospects.com/player/8541/corey-perry,2011-2012,nhl,Corey Perry,RW/LW,FW
Milan Michálek (LW/RW),Ottawa Senators,77,35,25,60,0.78,32,4,https://www.eliteprospects.com/player/8586/milan-michalek,2011-2012,nhl,Milan Michálek,LW/RW,FW
David Desharnais (C/LW),Montréal Canadiens,81,16,44,60,0.74,24,10,https://www.eliteprospects.com/player/11122/david-desharnais,2011-2012,nhl,David Desharnais,C/LW,FW
Rick Nash (LW/RW),Columbus Blue Jackets,82,30,29,59,0.72,40,-19,https://www.eliteprospects.com/player/3658/rick-nash,2011-2012,nhl,Rick Nash,LW/RW,FW
Daniel Alfredsson (RW),Ottawa Senators,75,27,32,59,0.79,18,16,https://www.eliteprospects.com/player/702/daniel-alfredsson,2011-2012,nhl,Daniel Alfredsson,RW,FW
Pascal Dupuis (LW),Pittsburgh Penguins,82,25,34,59,0.72,34,18,https://www.eliteprospects.com/player/8789/pascal-dupuis,2011-2012,nhl,Pascal Dupuis,LW,FW
Justin Williams (RW),Los Angeles Kings,82,22,37,59,0.72,44,10,https://www.eliteprospects.com/player/4506/justin-williams,2011-2012,nhl,Justin Williams,RW,FW
Martin Erat (RW/LW),Nashville Predators,71,19,39,58,0.82,30,12,https://www.eliteprospects.com/player/8611/martin-erat,2011-2012,nhl,Martin Erat,RW/LW,FW
Bobby Ryan (RW/LW),Anaheim Ducks,82,31,26,57,0.7,53,1,https://www.eliteprospects.com/player/9210/bobby-ryan,2011-2012,nhl,Bobby Ryan,RW/LW,FW
Evander Kane (LW/RW),Winnipeg Jets,74,30,27,57,0.77,53,11,https://www.eliteprospects.com/player/14657/evander-kane,2011-2012,nhl,Evander Kane,LW/RW,FW
Jonathan Toews (C),Chicago Blackhawks,59,29,28,57,0.97,28,17,https://www.eliteprospects.com/player/8792/jonathan-toews,2011-2012,nhl,Jonathan Toews,C,FW
Stephen Weiss (C),Florida Panthers,80,20,37,57,0.71,60,5,https://www.eliteprospects.com/player/8817/stephen-weiss,2011-2012,nhl,Stephen Weiss,C,FW
Ryan Getzlaf (C),Anaheim Ducks,82,11,46,57,0.7,75,-11,https://www.eliteprospects.com/player/8526/ryan-getzlaf,2011-2012,nhl,Ryan Getzlaf,C,FW
Johan Franzén (W/C),Detroit Red Wings,77,29,27,56,0.73,40,23,https://www.eliteprospects.com/player/158/johan-franzen,2011-2012,nhl,Johan Franzén,W/C,FW
Brad Marchand (W/C),Boston Bruins,76,28,27,55,0.72,87,31,https://www.eliteprospects.com/player/10439/brad-marchand,2011-2012,nhl,Brad Marchand,W/C,FW
Ryan O'Reilly (C),Colorado Avalanche,81,18,37,55,0.68,12,-1,https://www.eliteprospects.com/player/14371/ryan-o-reilly,2011-2012,nhl,Ryan O'Reilly,C,FW
Václav Prospal (LW/C),Columbus Blue Jackets,82,16,39,55,0.67,36,-11,https://www.eliteprospects.com/player/8641/vaclav-prospal,2011-2012,nhl,Václav Prospal,LW/C,FW
Ryan Callahan (RW),New York Rangers,76,29,25,54,0.71,61,-8,https://www.eliteprospects.com/player/9437/ryan-callahan,2011-2012,nhl,Ryan Callahan,RW,FW
David Backes (RW/C),St. Louis Blues,82,24,30,54,0.66,101,15,https://www.eliteprospects.com/player/11435/david-backes,2011-2012,nhl,David Backes,RW/C,FW
Kris Versteeg (RW/LW),Florida Panthers,71,23,31,54,0.76,49,4,https://www.eliteprospects.com/player/9486/kris-versteeg,2011-2012,nhl,Kris Versteeg,RW/LW,FW
Dustin Brown (RW/LW),Los Angeles Kings,82,22,32,54,0.66,53,18,https://www.eliteprospects.com/player/9099/dustin-brown,2011-2012,nhl,Dustin Brown,RW/LW,FW
Alexander Syomin (LW),Washington Capitals,77,21,33,54,0.7,56,9,https://www.eliteprospects.com/player/8633/alexander-syomin,2011-2012,nhl,Alexander Syomin,LW,FW
Jaromír Jágr (RW),Philadelphia Flyers,73,19,35,54,0.74,30,5,https://www.eliteprospects.com/player/8627/jaromir-jagr,2011-2012,nhl,Jaromír Jágr,RW,FW
T.J. Oshie (RW),St. Louis Blues,80,19,35,54,0.68,50,15,https://www.eliteprospects.com/player/9209/t.j.-oshie,2011-2012,nhl,T.J. Oshie,RW,FW
Taylor Hall (LW/C),Edmonton Oilers,61,27,26,53,0.87,36,-3,https://www.eliteprospects.com/player/14360/taylor-hall,2011-2012,nhl,Taylor Hall,LW/C,FW
Dany Heatley (LW/RW),Minnesota Wild,82,24,29,53,0.65,28,2,https://www.eliteprospects.com/player/3664/dany-heatley,2011-2012,nhl,Dany Heatley,LW/RW,FW
Paul Stastny (C),Colorado Avalanche,79,21,32,53,0.67,34,-8,https://www.eliteprospects.com/player/10212/paul-stastny,2011-2012,nhl,Paul Stastny,C,FW
David Legwand (C),Nashville Predators,78,19,34,53,0.68,26,3,https://www.eliteprospects.com/player/3668/david-legwand,2011-2012,nhl,David Legwand,C,FW
Dustin Byfuglien (D),Winnipeg Jets,66,12,41,53,0.8,72,-8,https://www.eliteprospects.com/player/10667/dustin-byfuglien,2011-2012,nhl,Dustin Byfuglien,D,DEF
Brian Campbell (D),Florida Panthers,82,4,49,53,0.65,6,-9,https://www.eliteprospects.com/player/8565/brian-campbell,2011-2012,nhl,Brian Campbell,D,DEF
Alexandre Burrows (RW/LW),Vancouver Canucks,80,28,24,52,0.65,90,24,https://www.eliteprospects.com/player/10224/alexandre-burrows,2011-2012,nhl,Alexandre Burrows,RW/LW,FW
Gabriel Landeskog (LW/RW),Colorado Avalanche,82,22,30,52,0.63,51,20,https://www.eliteprospects.com/player/10393/gabriel-landeskog,2011-2012,nhl,Gabriel Landeskog,LW/RW,FW
Ryan Nugent-Hopkins (C/W),Edmonton Oilers,62,18,34,52,0.84,16,-2,https://www.eliteprospects.com/player/25636/ryan-nugent-hopkins,2011-2012,nhl,Ryan Nugent-Hopkins,C/W,FW
Tomas Plekanec (C),Montréal Canadiens,81,17,35,52,0.64,56,-15,https://www.eliteprospects.com/player/8668/tomas-plekanec,2011-2012,nhl,Tomas Plekanec,C,FW
Zdeno Chára (D),Boston Bruins,79,12,40,52,0.66,86,33,https://www.eliteprospects.com/player/4530/zdeno-chara,2011-2012,nhl,Zdeno Chára,D,DEF
Mike Fisher (C),Nashville Predators,72,24,27,51,0.71,33,11,https://www.eliteprospects.com/player/8771/mike-fisher,2011-2012,nhl,Mike Fisher,C,FW
Mikhail Grabovski (C),Toronto Maple Leafs,74,23,28,51,0.69,51,0,https://www.eliteprospects.com/player/9351/mikhail-grabovski,2011-2012,nhl,Mikhail Grabovski,C,FW
Derek Stepan (C),New York Rangers,82,17,34,51,0.62,22,14,https://www.eliteprospects.com/player/19040/derek-stepan,2011-2012,nhl,Derek Stepan,C,FW
Adam Henrique (C/LW),New Jersey Devils,74,16,35,51,0.69,7,8,https://www.eliteprospects.com/player/19043/adam-henrique,2011-2012,nhl,Adam Henrique,C/LW,FW
Alex Pietrangelo (D),St. Louis Blues,81,12,39,51,0.63,36,16,https://www.eliteprospects.com/player/11317/alex-pietrangelo,2011-2012,nhl,Alex Pietrangelo,D,DEF
Andrew Ladd (LW),Winnipeg Jets,82,28,22,50,0.61,64,-8,https://www.eliteprospects.com/player/6668/andrew-ladd,2011-2012,nhl,Andrew Ladd,LW,FW
Jordan Staal (C),Pittsburgh Penguins,62,25,25,50,0.81,34,11,https://www.eliteprospects.com/player/10157/jordan-staal,2011-2012,nhl,Jordan Staal,C,FW
Jiri Hudler (W/C),Detroit Red Wings,81,25,25,50,0.62,42,10,https://www.eliteprospects.com/player/6665/jiri-hudler,2011-2012,nhl,Jiri Hudler,W/C,FW
Shane Doan (RW),Phoenix Coyotes,79,22,28,50,0.63,48,-8,https://www.eliteprospects.com/player/9137/shane-doan,2011-2012,nhl,Shane Doan,RW,FW
Drew Stafford (RW),Buffalo Sabres,80,20,30,50,0.63,46,5,https://www.eliteprospects.com/player/9180/drew-stafford,2011-2012,nhl,Drew Stafford,RW,FW
Wayne Simmonds (RW),Philadelphia Flyers,82,28,21,49,0.6,114,-1,https://www.eliteprospects.com/player/12517/wayne-simmonds,2011-2012,nhl,Wayne Simmonds,RW,FW
Vincent Lecavalier (C),Tampa Bay Lightning,64,22,27,49,0.77,50,-2,https://www.eliteprospects.com/player/3667/vincent-lecavalier,2011-2012,nhl,Vincent Lecavalier,C,FW
Ryan Kesler (C),Vancouver Canucks,77,22,27,49,0.64,56,11,https://www.eliteprospects.com/player/9014/ryan-kesler,2011-2012,nhl,Ryan Kesler,C,FW
Shea Weber (D),Nashville Predators,78,19,30,49,0.63,46,21,https://www.eliteprospects.com/player/9505/shea-weber,2011-2012,nhl,Shea Weber,D,DEF
Jakub Voráček (RW),Philadelphia Flyers,78,18,31,49,0.63,32,11,https://www.eliteprospects.com/player/9285/jakub-voracek,2011-2012,nhl,Jakub Voráček,RW,FW
Daniel Brière (C),Philadelphia Flyers,70,16,33,49,0.7,69,5,https://www.eliteprospects.com/player/8770/daniel-briere,2011-2012,nhl,Daniel Brière,C,FW
Alex Tanguay (LW),Calgary Flames,64,13,36,49,0.77,28,7,https://www.eliteprospects.com/player/8779/alex-tanguay,2011-2012,nhl,Alex Tanguay,LW,FW
Alexander Edler (D),Vancouver Canucks,82,11,38,49,0.6,34,0,https://www.eliteprospects.com/player/4081/alexander-edler,2011-2012,nhl,Alexander Edler,D,DEF
Curtis Glencross (LW),Calgary Flames,67,26,22,48,0.72,62,-13,https://www.eliteprospects.com/player/10984/curtis-glencross,2011-2012,nhl,Curtis Glencross,LW,FW
Ryan Malone (LW),Tampa Bay Lightning,68,20,28,48,0.71,82,-11,https://www.eliteprospects.com/player/8721/ryan-malone,2011-2012,nhl,Ryan Malone,LW,FW
Steve Sullivan (LW),Pittsburgh Penguins,79,17,31,48,0.61,20,-3,https://www.eliteprospects.com/player/8896/steve-sullivan,2011-2012,nhl,Steve Sullivan,LW,FW
Dan Boyle (D),San Jose Sharks,81,9,39,48,0.59,57,10,https://www.eliteprospects.com/player/5369/dan-boyle,2011-2012,nhl,Dan Boyle,D,DEF
Matt Read (RW/LW),Philadelphia Flyers,79,24,23,47,0.59,12,13,https://www.eliteprospects.com/player/33243/matt-read,2011-2012,nhl,Matt Read,RW/LW,FW
Tyler Bozak (C),Toronto Maple Leafs,73,18,29,47,0.64,22,-7,https://www.eliteprospects.com/player/11589/tyler-bozak,2011-2012,nhl,Tyler Bozak,C,FW
Sam Gagner (C/RW),Edmonton Oilers,75,18,29,47,0.63,36,5,https://www.eliteprospects.com/player/10425/sam-gagner,2011-2012,nhl,Sam Gagner,C/RW,FW
Kyle Wellwood (C),Winnipeg Jets,77,18,29,47,0.61,4,3,https://www.eliteprospects.com/player/8818/kyle-wellwood,2011-2012,nhl,Kyle Wellwood,C,FW
Frans Nielsen (C),New York Islanders,82,17,30,47,0.57,6,-3,https://www.eliteprospects.com/player/210/frans-nielsen,2011-2012,nhl,Frans Nielsen,C,FW
Nick Foligno (LW/RW),Ottawa Senators,82,15,32,47,0.57,124,2,https://www.eliteprospects.com/player/10675/nick-foligno,2011-2012,nhl,Nick Foligno,LW/RW,FW
Mark Streit (D),New York Islanders,82,7,40,47,0.57,46,-27,https://www.eliteprospects.com/player/4092/mark-streit,2011-2012,nhl,Mark Streit,D,DEF
David Clarkson (RW),New Jersey Devils,80,30,16,46,0.58,138,-8,https://www.eliteprospects.com/player/11018/david-clarkson,2011-2012,nhl,David Clarkson,RW,FW
Bryan Little (C),Winnipeg Jets,74,24,22,46,0.62,26,-11,https://www.eliteprospects.com/player/10426/bryan-little,2011-2012,nhl,Bryan Little,C,FW
Ryan Smyth (LW),Edmonton Oilers,82,19,27,46,0.56,82,-5,https://www.eliteprospects.com/player/8888/ryan-smyth,2011-2012,nhl,Ryan Smyth,LW,FW
Marcus Johansson (C/LW),Washington Capitals,80,14,32,46,0.58,8,-5,https://www.eliteprospects.com/player/6225/marcus-johansson,2011-2012,nhl,Marcus Johansson,C/LW,FW
Jussi Jokinen (W/C),Carolina Hurricanes,79,12,34,46,0.58,54,-2,https://www.eliteprospects.com/player/2716/jussi-jokinen,2011-2012,nhl,Jussi Jokinen,W/C,FW
Dennis Wideman (D),Washington Capitals,82,11,35,46,0.56,46,-8,https://www.eliteprospects.com/player/8826/dennis-wideman,2011-2012,nhl,Dennis Wideman,D,DEF
Ryan Suter (D),Nashville Predators,79,7,39,46,0.58,30,15,https://www.eliteprospects.com/player/8897/ryan-suter,2011-2012,nhl,Ryan Suter,D,DEF
Kyle Okposo (RW/C),New York Islanders,79,24,21,45,0.57,46,-15,https://www.eliteprospects.com/player/10458/kyle-okposo,2011-2012,nhl,Kyle Okposo,RW/C,FW
Ryane Clowe (LW),San Jose Sharks,76,17,28,45,0.59,97,-5,https://www.eliteprospects.com/player/9116/ryane-clowe,2011-2012,nhl,Ryane Clowe,LW,FW
Kyle Brodziak (C),Minnesota Wild,82,22,22,44,0.54,66,-15,https://www.eliteprospects.com/player/9097/kyle-brodziak,2011-2012,nhl,Kyle Brodziak,C,FW
Petr Sýkora (RW),New Jersey Devils,82,21,23,44,0.54,40,4,https://www.eliteprospects.com/player/8692/petr-sykora,2011-2012,nhl,Petr Sýkora,RW,FW
Jeff Skinner (C/LW),Carolina Hurricanes,64,20,24,44,0.69,56,-8,https://www.eliteprospects.com/player/23668/jeff-skinner,2011-2012,nhl,Jeff Skinner,C/LW,FW
Mike Richards (C),Los Angeles Kings,74,18,26,44,0.59,71,3,https://www.eliteprospects.com/player/8816/mike-richards,2011-2012,nhl,Mike Richards,C,FW
Derek Roy (C),Buffalo Sabres,80,17,27,44,0.55,54,-7,https://www.eliteprospects.com/player/8810/derek-roy,2011-2012,nhl,Derek Roy,C,FW
Dainius Zubrus (W/C),New Jersey Devils,82,17,27,44,0.54,34,7,https://www.eliteprospects.com/player/8632/dainius-zubrus,2011-2012,nhl,Dainius Zubrus,W/C,FW
Nicklas Bäckström (C),Washington Capitals,42,14,30,44,1.05,24,-4,https://www.eliteprospects.com/player/3682/nicklas-backstrom,2011-2012,nhl,Nicklas Bäckström,C,FW
Mikko Koivu (C),Minnesota Wild,55,12,32,44,0.8,28,10,https://www.eliteprospects.com/player/2696/mikko-koivu,2011-2012,nhl,Mikko Koivu,C,FW
Dion Phaneuf (D),Toronto Maple Leafs,82,12,32,44,0.54,92,-10,https://www.eliteprospects.com/player/8564/dion-phaneuf,2011-2012,nhl,Dion Phaneuf,D,DEF
Kevin Bieksa (D),Vancouver Canucks,78,8,36,44,0.56,94,12,https://www.eliteprospects.com/player/9682/kevin-bieksa,2011-2012,nhl,Kevin Bieksa,D,DEF
Patric Hörnqvist (RW),Nashville Predators,76,27,16,43,0.57,28,9,https://www.eliteprospects.com/player/3683/patric-hornqvist,2011-2012,nhl,Patric Hörnqvist,RW,FW
Viktor Stålberg (LW),Chicago Blackhawks,79,22,21,43,0.54,34,6,https://www.eliteprospects.com/player/4202/viktor-stalberg,2011-2012,nhl,Viktor Stålberg,LW,FW
Clarke MacArthur (LW),Toronto Maple Leafs,73,20,23,43,0.59,37,3,https://www.eliteprospects.com/player/8951/clarke-macarthur,2011-2012,nhl,Clarke MacArthur,LW,FW
Chris Higgins (LW),Vancouver Canucks,71,18,25,43,0.61,16,11,https://www.eliteprospects.com/player/9051/chris-higgins,2011-2012,nhl,Chris Higgins,LW,FW
Sergei Kostitsyn (RW/LW),Nashville Predators,75,17,26,43,0.57,34,8,https://www.eliteprospects.com/player/9653/sergei-kostitsyn,2011-2012,nhl,Sergei Kostitsyn,RW/LW,FW
Keith Yandle (D),Phoenix Coyotes,82,11,32,43,0.52,51,5,https://www.eliteprospects.com/player/10247/keith-yandle,2011-2012,nhl,Keith Yandle,D,DEF
Kevin Shattenkirk (D),St. Louis Blues,81,9,34,43,0.53,60,20,https://www.eliteprospects.com/player/11460/kevin-shattenkirk,2011-2012,nhl,Kevin Shattenkirk,D,DEF
Kimmo Timonen (D),Philadelphia Flyers,76,4,39,43,0.57,46,8,https://www.eliteprospects.com/player/2664/kimmo-timonen,2011-2012,nhl,Kimmo Timonen,D,DEF
David Perron (LW/RW),St. Louis Blues,57,21,21,42,0.74,28,19,https://www.eliteprospects.com/player/11123/david-perron,2011-2012,nhl,David Perron,LW/RW,FW
Rich Peverley (C),Boston Bruins,57,11,31,42,0.74,22,20,https://www.eliteprospects.com/player/11017/rich-peverley,2011-2012,nhl,Rich Peverley,C,FW
Kris Letang (D),Pittsburgh Penguins,51,10,32,42,0.82,34,21,https://www.eliteprospects.com/player/9189/kris-letang,2011-2012,nhl,Kris Letang,D,DEF
Michael Cammalleri (LW),totals,66,20,21,41,0.62,26,-10,https://www.eliteprospects.com/player/9104/michael-cammalleri,2011-2012,nhl,Michael Cammalleri,LW,FW
Cody Hodgson (C),totals,83,19,22,41,0.49,10,1,https://www.eliteprospects.com/player/11253/cody-hodgson,2011-2012,nhl,Cody Hodgson,C,FW
Brooks Laich (C/LW),Washington Capitals,82,16,25,41,0.5,34,-8,https://www.eliteprospects.com/player/9518/brooks-laich,2011-2012,nhl,Brooks Laich,C/LW,FW
Derick Brassard (C/LW),Columbus Blue Jackets,74,14,27,41,0.55,42,-20,https://www.eliteprospects.com/player/9366/derick-brassard,2011-2012,nhl,Derick Brassard,C/LW,FW
Steve Downie (RW),totals,75,14,27,41,0.55,137,-6,https://www.eliteprospects.com/player/9186/steve-downie,2011-2012,nhl,Steve Downie,RW,FW
Michael Del Zotto (D),New York Rangers,77,10,31,41,0.53,36,20,https://www.eliteprospects.com/player/12112/michael-del-zotto,2011-2012,nhl,Michael Del Zotto,D,DEF
R.J. Umberger (C/W),Columbus Blue Jackets,77,20,20,40,0.52,27,-10,https://www.eliteprospects.com/player/8820/r.j.-umberger,2011-2012,nhl,R.J. Umberger,C/W,FW
