player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,player_name,position,fw_def
Jarome Iginla (RW),Calgary Flames,81,41,32,73,0.9,84,21,https://www.eliteprospects.com/player/9036/jarome-iginla,2003-2004,nhl,Jarome Iginla,RW,FW
Steve Sullivan (LW),totals,80,24,49,73,0.91,48,1,https://www.eliteprospects.com/player/8896/steve-sullivan,2003-2004,nhl,Steve Sullivan,LW,FW
Joe Thornton (C),Boston Bruins,77,23,50,73,0.95,98,18,https://www.eliteprospects.com/player/3670/joe-thornton,2003-2004,nhl,Joe Thornton,C,FW
Keith Tkachuk (LW),St. Louis Blues,75,33,38,71,0.95,83,8,https://www.eliteprospects.com/player/8856/keith-tkachuk,2003-2004,nhl,Keith Tkachuk,LW,FW
Scott Gomez (C),New Jersey Devils,80,14,56,70,0.88,70,18,https://www.eliteprospects.com/player/9050/scott-gomez,2003-2004,nhl,Scott Gomez,C,FW
Bill Guerin (RW),Dallas Stars,82,34,35,69,0.84,109,14,https://www.eliteprospects.com/player/9053/bill-guerin,2003-2004,nhl,Bill Guerin,RW,FW
Martin Havlát (RW/LW),Ottawa Senators,68,31,37,68,1,46,12,https://www.eliteprospects.com/player/8624/martin-havlat,2003-2004,nhl,Martin Havlát,RW/LW,FW
Pavel Datsyuk (C),Detroit Red Wings,75,30,38,68,0.91,35,-2,https://www.eliteprospects.com/player/8615/pavel-datsyuk,2003-2004,nhl,Pavel Datsyuk,C,FW
Shane Doan (RW),Phoenix Coyotes,79,27,41,68,0.86,47,-11,https://www.eliteprospects.com/player/9137/shane-doan,2003-2004,nhl,Shane Doan,RW,FW
Brett Hull (RW),Detroit Red Wings,81,25,43,68,0.84,12,-4,https://www.eliteprospects.com/player/21341/brett-hull,2003-2004,nhl,Brett Hull,RW,FW
Scott Walker (RW),Nashville Predators,75,25,42,67,0.89,94,4,https://www.eliteprospects.com/player/8801/scott-walker,2003-2004,nhl,Scott Walker,RW,FW
Vincent Lecavalier (C),Tampa Bay Lightning,81,32,34,66,0.81,52,23,https://www.eliteprospects.com/player/3667/vincent-lecavalier,2003-2004,nhl,Vincent Lecavalier,C,FW
Sergei Fedorov (C),Mighty Ducks of Anaheim,80,31,34,65,0.81,42,-5,https://www.eliteprospects.com/player/8619/sergei-fedorov,2003-2004,nhl,Sergei Fedorov,C,FW
Daniel Brière (C),Buffalo Sabres,82,28,37,65,0.79,70,-7,https://www.eliteprospects.com/player/8770/daniel-briere,2003-2004,nhl,Daniel Brière,C,FW
Mike Ribeiro (C),Montréal Canadiens,81,20,45,65,0.8,34,15,https://www.eliteprospects.com/player/8715/mike-ribeiro,2003-2004,nhl,Mike Ribeiro,C,FW
Doug Weight (C),St. Louis Blues,75,14,51,65,0.87,37,-3,https://www.eliteprospects.com/player/8733/doug-weight,2003-2004,nhl,Doug Weight,C,FW
Michael Ryder (RW),Montréal Canadiens,81,25,38,63,0.78,26,10,https://www.eliteprospects.com/player/4487/michael-ryder,2003-2004,nhl,Michael Ryder,RW,FW
Glen Murray (RW),Boston Bruins,81,32,28,60,0.74,56,17,https://www.eliteprospects.com/player/8576/glen-murray,2003-2004,nhl,Glen Murray,RW,FW
Brendan Morrison (C),Vancouver Canucks,82,22,38,60,0.73,50,16,https://www.eliteprospects.com/player/4321/brendan-morrison,2003-2004,nhl,Brendan Morrison,C,FW
Todd Bertuzzi (RW/LW),Vancouver Canucks,69,17,43,60,0.87,122,21,https://www.eliteprospects.com/player/9081/todd-bertuzzi,2003-2004,nhl,Todd Bertuzzi,RW/LW,FW
Ryan Smyth (LW),Edmonton Oilers,82,23,36,59,0.72,70,11,https://www.eliteprospects.com/player/8888/ryan-smyth,2003-2004,nhl,Ryan Smyth,LW,FW
Olli Jokinen (C),Florida Panthers,82,26,32,58,0.71,81,-16,https://www.eliteprospects.com/player/2679/olli-jokinen,2003-2004,nhl,Olli Jokinen,C,FW
Pavol Demitra (C),St. Louis Blues,69,23,35,58,0.84,18,1,https://www.eliteprospects.com/player/8596/pavol-demitra,2003-2004,nhl,Pavol Demitra,C,FW
Michal Handzus (C),Philadelphia Flyers,82,20,38,58,0.71,82,18,https://www.eliteprospects.com/player/8683/michal-handzus,2003-2004,nhl,Michal Handzus,C,FW
Sergei Gonchar (D),totals,71,11,47,58,0.82,56,-14,https://www.eliteprospects.com/player/8678/sergei-gonchar,2003-2004,nhl,Sergei Gonchar,D,DEF
Rick Nash (LW/RW),Columbus Blue Jackets,80,41,16,57,0.71,87,-35,https://www.eliteprospects.com/player/3658/rick-nash,2003-2004,nhl,Rick Nash,LW/RW,FW
Miroslav Satan (RW),Buffalo Sabres,82,29,28,57,0.7,30,-15,https://www.eliteprospects.com/player/666/miroslav-satan,2003-2004,nhl,Miroslav Satan,RW,FW
Fredrik Modin (LW),Tampa Bay Lightning,82,29,28,57,0.7,32,31,https://www.eliteprospects.com/player/727/fredrik-modin,2003-2004,nhl,Fredrik Modin,LW,FW
Patrick Marleau (LW),San Jose Sharks,80,28,29,57,0.71,24,-5,https://www.eliteprospects.com/player/3671/patrick-marleau,2003-2004,nhl,Patrick Marleau,LW,FW
Jason Arnott (C/RW),Dallas Stars,73,21,36,57,0.78,66,23,https://www.eliteprospects.com/player/9068/jason-arnott,2003-2004,nhl,Jason Arnott,C/RW,FW
Bobby Holík (C),New York Rangers,82,25,31,56,0.68,96,4,https://www.eliteprospects.com/player/8545/bobby-holik,2003-2004,nhl,Bobby Holík,C,FW
John LeClair (LW),Philadelphia Flyers,75,23,32,55,0.73,51,20,https://www.eliteprospects.com/player/8992/john-leclair,2003-2004,nhl,John LeClair,LW,FW
Jason Spezza (C),Ottawa Senators,78,22,33,55,0.71,71,22,https://www.eliteprospects.com/player/3661/jason-spezza,2003-2004,nhl,Jason Spezza,C,FW
Tyler Arnason (C/LW),Chicago Blackhawks,82,22,33,55,0.67,16,-13,https://www.eliteprospects.com/player/4746/tyler-arnason,2003-2004,nhl,Tyler Arnason,C/LW,FW
Nils Ekman (LW),San Jose Sharks,82,22,33,55,0.67,34,30,https://www.eliteprospects.com/player/75/nils-ekman,2003-2004,nhl,Nils Ekman,LW,FW
Peter Forsberg (C),Colorado Avalanche,39,18,37,55,1.41,28,16,https://www.eliteprospects.com/player/710/peter-forsberg,2003-2004,nhl,Peter Forsberg,C,FW
Shawn McEachern (LW),Atlanta Thrashers,82,17,38,55,0.67,76,5,https://www.eliteprospects.com/player/5675/shawn-mceachern,2003-2004,nhl,Shawn McEachern,LW,FW
Saku Koivu (C),Montréal Canadiens,68,14,41,55,0.81,52,-5,https://www.eliteprospects.com/player/2669/saku-koivu,2003-2004,nhl,Saku Koivu,C,FW
Václav Prospal (LW/C),Mighty Ducks of Anaheim,82,19,35,54,0.66,54,-9,https://www.eliteprospects.com/player/8641/vaclav-prospal,2003-2004,nhl,Václav Prospal,LW/C,FW
Daniel Sedin (LW),Vancouver Canucks,82,18,36,54,0.66,18,18,https://www.eliteprospects.com/player/737/daniel-sedin,2003-2004,nhl,Daniel Sedin,LW,FW
Chris Pronger (D),St. Louis Blues,80,14,40,54,0.68,88,-1,https://www.eliteprospects.com/player/8538/chris-pronger,2003-2004,nhl,Chris Pronger,D,DEF
Scott Niedermayer (D),New Jersey Devils,81,14,40,54,0.67,44,20,https://www.eliteprospects.com/player/8521/scott-niedermayer,2003-2004,nhl,Scott Niedermayer,D,DEF
Brendan Shanahan (LW),Detroit Red Wings,82,25,28,53,0.65,117,15,https://www.eliteprospects.com/player/8693/brendan-shanahan,2003-2004,nhl,Brendan Shanahan,LW,FW
Chris Drury (C),Buffalo Sabres,76,23,30,53,0.7,68,8,https://www.eliteprospects.com/player/8804/chris-drury,2003-2004,nhl,Chris Drury,C,FW
Jean-Pierre Dumont (RW),Buffalo Sabres,77,22,31,53,0.69,40,-9,https://www.eliteprospects.com/player/8783/jean-pierre-dumont,2003-2004,nhl,Jean-Pierre Dumont,RW,FW
David Výborný (C),Columbus Blue Jackets,82,22,31,53,0.65,40,-26,https://www.eliteprospects.com/player/1920/david-vyborny,2003-2004,nhl,David Výborný,C,FW
Tony Amonte (RW/LW),Philadelphia Flyers,80,20,33,53,0.66,38,13,https://www.eliteprospects.com/player/9065/tony-amonte,2003-2004,nhl,Tony Amonte,RW/LW,FW
Bryan McCabe (D),Toronto Maple Leafs,75,16,37,53,0.71,86,22,https://www.eliteprospects.com/player/4727/bryan-mccabe,2003-2004,nhl,Bryan McCabe,D,DEF
Marek Zidlicky (D),Nashville Predators,82,14,39,53,0.65,82,-16,https://www.eliteprospects.com/player/3633/marek-zidlicky,2003-2004,nhl,Marek Zidlicky,D,DEF
Ladislav Nagy (LW/RW),Phoenix Coyotes,55,24,28,52,0.95,46,11,https://www.eliteprospects.com/player/5522/ladislav-nagy,2003-2004,nhl,Ladislav Nagy,LW/RW,FW
Petr Sýkora (RW),Mighty Ducks of Anaheim,81,23,29,52,0.64,34,-9,https://www.eliteprospects.com/player/8692/petr-sykora,2003-2004,nhl,Petr Sýkora,RW,FW
Valeri Bure (RW),totals,68,22,30,52,0.76,26,3,https://www.eliteprospects.com/player/9675/valeri-bure,2003-2004,nhl,Valeri Bure,RW,FW
Daymond Langkow (C),Phoenix Coyotes,81,21,31,52,0.64,40,4,https://www.eliteprospects.com/player/8986/daymond-langkow,2003-2004,nhl,Daymond Langkow,C,FW
Vyacheslav Kozlov (LW),Atlanta Thrashers,76,20,32,52,0.68,74,-12,https://www.eliteprospects.com/player/8544/vyacheslav-kozlov,2003-2004,nhl,Vyacheslav Kozlov,LW,FW
Marc Savard (C),Atlanta Thrashers,45,19,33,52,1.16,85,-8,https://www.eliteprospects.com/player/8574/marc-savard,2003-2004,nhl,Marc Savard,C,FW
Dick Tärnström (D),Pittsburgh Penguins,80,16,36,52,0.65,38,-37,https://www.eliteprospects.com/player/744/dick-tarnstrom,2003-2004,nhl,Dick Tärnström,D,DEF
Jochen Hecht (C/LW),Buffalo Sabres,64,15,37,52,0.81,49,17,https://www.eliteprospects.com/player/8674/jochen-hecht,2003-2004,nhl,Jochen Hecht,C/LW,FW
Trent Hunter (RW),New York Islanders,77,25,26,51,0.66,16,23,https://www.eliteprospects.com/player/5215/trent-hunter,2003-2004,nhl,Trent Hunter,RW,FW
Luc Robitaille (LW),Los Angeles Kings,80,22,29,51,0.64,56,4,https://www.eliteprospects.com/player/21334/luc-robitaille,2003-2004,nhl,Luc Robitaille,LW,FW
Alexandre Daigle (C),Minnesota Wild,78,20,31,51,0.65,14,-4,https://www.eliteprospects.com/player/10648/alexandre-daigle,2003-2004,nhl,Alexandre Daigle,C,FW
Steve Yzerman (C),Detroit Red Wings,75,18,33,51,0.68,46,10,https://www.eliteprospects.com/player/18904/steve-yzerman,2003-2004,nhl,Steve Yzerman,C,FW
Brian Leetch (D),totals,72,15,36,51,0.71,34,6,https://www.eliteprospects.com/player/8994/brian-leetch,2003-2004,nhl,Brian Leetch,D,DEF
Oleg Kvasha (LW),New York Islanders,81,15,36,51,0.63,48,4,https://www.eliteprospects.com/player/8587/oleg-kvasha,2003-2004,nhl,Oleg Kvasha,LW,FW
Richard Zedník (RW/LW),Montréal Canadiens,81,26,24,50,0.62,63,5,https://www.eliteprospects.com/player/8631/richard-zednik,2003-2004,nhl,Richard Zedník,RW/LW,FW
Joe Nieuwendyk (C),Toronto Maple Leafs,64,22,28,50,0.78,26,7,https://www.eliteprospects.com/player/8950/joe-nieuwendyk,2003-2004,nhl,Joe Nieuwendyk,C,FW
Alexei Morozov (RW),Pittsburgh Penguins,75,16,34,50,0.67,24,-24,https://www.eliteprospects.com/player/11044/alexei-morozov,2003-2004,nhl,Alexei Morozov,RW,FW
Radek Dvorak (RW),Edmonton Oilers,78,15,35,50,0.64,26,18,https://www.eliteprospects.com/player/8599/radek-dvorak,2003-2004,nhl,Radek Dvorak,RW,FW
Peter Bondra (RW),totals,77,26,23,49,0.64,38,-16,https://www.eliteprospects.com/player/8553/peter-bondra,2003-2004,nhl,Peter Bondra,RW,FW
Mariusz Czerkawski (RW),New York Islanders,81,25,24,49,0.6,16,8,https://www.eliteprospects.com/player/1467/mariusz-czerkawski,2003-2004,nhl,Mariusz Czerkawski,RW,FW
Brenden Morrow (LW),Dallas Stars,81,25,24,49,0.6,121,10,https://www.eliteprospects.com/player/8960/brenden-morrow,2003-2004,nhl,Brenden Morrow,LW,FW
Martin Erat (RW/LW),Nashville Predators,76,16,33,49,0.64,38,10,https://www.eliteprospects.com/player/8611/martin-erat,2003-2004,nhl,Martin Erat,RW/LW,FW
Andrew Brunette (LW),Minnesota Wild,82,15,34,49,0.6,12,3,https://www.eliteprospects.com/player/9101/andrew-brunette,2003-2004,nhl,Andrew Brunette,LW,FW
Gary Roberts (LW),Toronto Maple Leafs,72,28,20,48,0.67,84,9,https://www.eliteprospects.com/player/8936/gary-roberts,2003-2004,nhl,Gary Roberts,LW,FW
Alexander Frolov (LW),Los Angeles Kings,77,24,24,48,0.62,24,8,https://www.eliteprospects.com/player/8591/alexander-frolov,2003-2004,nhl,Alexander Frolov,LW,FW
Owen Nolan (RW),Toronto Maple Leafs,65,19,29,48,0.74,110,4,https://www.eliteprospects.com/player/9674/owen-nolan,2003-2004,nhl,Owen Nolan,RW,FW
Brian Rolston (LW),Boston Bruins,82,19,29,48,0.59,40,9,https://www.eliteprospects.com/player/8927/brian-rolston,2003-2004,nhl,Brian Rolston,LW,FW
Jonathan Cheechoo (RW),San Jose Sharks,81,28,19,47,0.58,33,5,https://www.eliteprospects.com/player/5529/jonathan-cheechoo,2003-2004,nhl,Jonathan Cheechoo,RW,FW
Jason Blake (LW/C),New York Islanders,75,22,25,47,0.63,56,11,https://www.eliteprospects.com/player/8782/jason-blake,2003-2004,nhl,Jason Blake,LW/C,FW
Alyn McCauley (C/LW),San Jose Sharks,82,20,27,47,0.57,28,23,https://www.eliteprospects.com/player/8974/alyn-mccauley,2003-2004,nhl,Alyn McCauley,C/LW,FW
Jeremy Roenick (C),Philadelphia Flyers,62,19,28,47,0.76,62,1,https://www.eliteprospects.com/player/8929/jeremy-roenick,2003-2004,nhl,Jeremy Roenick,C,FW
David Legwand (C),Nashville Predators,82,18,29,47,0.57,46,9,https://www.eliteprospects.com/player/3668/david-legwand,2003-2004,nhl,David Legwand,C,FW
Bryan Berard (D),Chicago Blackhawks,58,13,34,47,0.81,53,-24,https://www.eliteprospects.com/player/9078/bryan-berard,2003-2004,nhl,Bryan Berard,D,DEF
Craig Conroy (C),Calgary Flames,63,8,39,47,0.75,44,13,https://www.eliteprospects.com/player/9121/craig-conroy,2003-2004,nhl,Craig Conroy,C,FW
Mike Knuble (RW),Boston Bruins,82,21,25,46,0.56,32,19,https://www.eliteprospects.com/player/4322/mike-knuble,2003-2004,nhl,Mike Knuble,RW,FW
Jeff Halpern (C),Washington Capitals,79,19,27,46,0.58,56,-21,https://www.eliteprospects.com/player/8776/jeff-halpern,2003-2004,nhl,Jeff Halpern,C,FW
Bryan Smolinski (C),Ottawa Senators,80,19,27,46,0.58,49,22,https://www.eliteprospects.com/player/8887/bryan-smolinski,2003-2004,nhl,Bryan Smolinski,C,FW
Petr Nedvěd (C),totals,81,19,27,46,0.57,46,-8,https://www.eliteprospects.com/player/8684/petr-nedved,2003-2004,nhl,Petr Nedvěd,C,FW
Mathieu Schneider (D),Detroit Red Wings,78,14,32,46,0.59,56,22,https://www.eliteprospects.com/player/8875/mathieu-schneider,2003-2004,nhl,Mathieu Schneider,D,DEF
Rob Blake (D),Colorado Avalanche,74,13,33,46,0.62,61,6,https://www.eliteprospects.com/player/8580/rob-blake,2003-2004,nhl,Rob Blake,D,DEF
Simon Gagné (LW),Philadelphia Flyers,80,24,21,45,0.56,29,12,https://www.eliteprospects.com/player/8828/simon-gagne,2003-2004,nhl,Simon Gagné,LW,FW
Mark Bell (C/LW),Chicago Blackhawks,82,21,24,45,0.55,106,-14,https://www.eliteprospects.com/player/8765/mark-bell,2003-2004,nhl,Mark Bell,C/LW,FW
Josef Vasicek (C),Carolina Hurricanes,82,19,26,45,0.55,60,-3,https://www.eliteprospects.com/player/8614/josef-vasicek,2003-2004,nhl,Josef Vasicek,C,FW
Alexei Kovalev (RW),totals,78,14,31,45,0.58,66,-9,https://www.eliteprospects.com/player/8670/alexei-kovalev,2003-2004,nhl,Alexei Kovalev,RW,FW
Martin Ručinský (LW),totals,82,14,31,45,0.55,72,15,https://www.eliteprospects.com/player/8688/martin-rucinsky,2003-2004,nhl,Martin Ručinský,LW,FW
Tuomo Ruutu (W/C),Chicago Blackhawks,82,21,23,44,0.54,58,-31,https://www.eliteprospects.com/player/2695/tuomo-ruutu,2003-2004,nhl,Tuomo Ruutu,W/C,FW
Mike Modano (C),Dallas Stars,76,14,30,44,0.58,46,-21,https://www.eliteprospects.com/player/8965/mike-modano,2003-2004,nhl,Mike Modano,C,FW
Adrian Aucoin (D),New York Islanders,81,13,31,44,0.54,54,29,https://www.eliteprospects.com/player/5530/adrian-aucoin,2003-2004,nhl,Adrian Aucoin,D,DEF
Radek Bonk (C),Ottawa Senators,66,12,32,44,0.67,66,2,https://www.eliteprospects.com/player/8671/radek-bonk,2003-2004,nhl,Radek Bonk,C,FW
Kimmo Timonen (D),Nashville Predators,77,12,32,44,0.57,52,-7,https://www.eliteprospects.com/player/2664/kimmo-timonen,2003-2004,nhl,Kimmo Timonen,D,DEF
Justin Williams (RW),totals,79,11,33,44,0.56,64,12,https://www.eliteprospects.com/player/4506/justin-williams,2003-2004,nhl,Justin Williams,RW,FW
Ryan Malone (LW),Pittsburgh Penguins,81,22,21,43,0.53,64,-23,https://www.eliteprospects.com/player/8721/ryan-malone,2003-2004,nhl,Ryan Malone,LW,FW
Steve Rucchin (C),Mighty Ducks of Anaheim,82,20,23,43,0.52,12,-14,https://www.eliteprospects.com/player/8555/steve-rucchin,2003-2004,nhl,Steve Rucchin,C,FW
Mark Messier (C),New York Rangers,76,18,25,43,0.57,42,3,https://www.eliteprospects.com/player/21309/mark-messier,2003-2004,nhl,Mark Messier,C,FW
Wade Redden (D),Ottawa Senators,81,17,26,43,0.53,65,21,https://www.eliteprospects.com/player/8931/wade-redden,2003-2004,nhl,Wade Redden,D,DEF
Trent Klatt (RW),Los Angeles Kings,82,17,26,43,0.52,46,2,https://www.eliteprospects.com/player/69566/trent-klatt,2003-2004,nhl,Trent Klatt,RW,FW
Henrik Zetterberg (C),Detroit Red Wings,61,15,28,43,0.7,14,15,https://www.eliteprospects.com/player/285/henrik-zetterberg,2003-2004,nhl,Henrik Zetterberg,C,FW
Ray Whitney (LW/RW),Detroit Red Wings,67,14,29,43,0.64,22,7,https://www.eliteprospects.com/player/8824/ray-whitney,2003-2004,nhl,Ray Whitney,LW/RW,FW
Erik Cole (LW),Carolina Hurricanes,80,18,24,42,0.53,93,-4,https://www.eliteprospects.com/player/8732/erik-cole,2003-2004,nhl,Erik Cole,LW,FW
Shean Donovan (RW),Calgary Flames,82,18,24,42,0.51,72,14,https://www.eliteprospects.com/player/8571/shean-donovan,2003-2004,nhl,Shean Donovan,RW,FW
Mike York (C/W),Edmonton Oilers,61,16,26,42,0.69,15,18,https://www.eliteprospects.com/player/8730/mike-york,2003-2004,nhl,Mike York,C/W,FW
Kim Johnsson (D),Philadelphia Flyers,80,13,29,42,0.53,26,16,https://www.eliteprospects.com/player/698/kim-johnsson,2003-2004,nhl,Kim Johnsson,D,DEF
Henrik Sedin (C),Vancouver Canucks,76,11,31,42,0.55,32,23,https://www.eliteprospects.com/player/738/henrik-sedin,2003-2004,nhl,Henrik Sedin,C,FW
Brent Sopel (D),Vancouver Canucks,80,10,32,42,0.53,36,11,https://www.eliteprospects.com/player/10229/brent-sopel,2003-2004,nhl,Brent Sopel,D,DEF
Sergei Zubov (D),Dallas Stars,77,7,35,42,0.55,20,0,https://www.eliteprospects.com/player/8508/sergei-zubov,2003-2004,nhl,Sergei Zubov,D,DEF
Paul Mara (D),Phoenix Coyotes,81,6,36,42,0.52,48,-11,https://www.eliteprospects.com/player/8566/paul-mara,2003-2004,nhl,Paul Mara,D,DEF
Marco Sturm (LW),San Jose Sharks,64,21,20,41,0.64,36,0,https://www.eliteprospects.com/player/8573/marco-sturm,2003-2004,nhl,Marco Sturm,LW,FW
Zigmund Pálffy (RW),Los Angeles Kings,35,16,25,41,1.17,12,18,https://www.eliteprospects.com/player/12627/zigmund-palffy,2003-2004,nhl,Zigmund Pálffy,RW,FW
Zdeno Chára (D),Ottawa Senators,79,16,25,41,0.52,147,33,https://www.eliteprospects.com/player/4530/zdeno-chara,2003-2004,nhl,Zdeno Chára,D,DEF
Matthew Barnaby (RW/LW),totals,82,16,25,41,0.5,157,18,https://www.eliteprospects.com/player/9073/matthew-barnaby,2003-2004,nhl,Matthew Barnaby,RW/LW,FW
Vincent Damphousse (C),San Jose Sharks,82,12,29,41,0.5,66,-5,https://www.eliteprospects.com/player/21515/vincent-damphousse,2003-2004,nhl,Vincent Damphousse,C,FW
Kris Draper (C),Detroit Red Wings,67,24,16,40,0.6,31,22,https://www.eliteprospects.com/player/9142/kris-draper,2003-2004,nhl,Kris Draper,C,FW
Milan Kraft (C),Pittsburgh Penguins,66,19,21,40,0.61,18,-22,https://www.eliteprospects.com/player/9630/milan-kraft,2003-2004,nhl,Milan Kraft,C,FW
Steve Konowalchuk (LW),totals,82,19,21,40,0.49,70,-3,https://www.eliteprospects.com/player/9020/steve-konowalchuk,2003-2004,nhl,Steve Konowalchuk,LW,FW
Marián Gáborík (RW),Minnesota Wild,65,18,22,40,0.62,20,10,https://www.eliteprospects.com/player/3665/marian-gaborik,2003-2004,nhl,Marián Gáborík,RW,FW
Sergei Samsonov (LW),Boston Bruins,58,17,23,40,0.69,4,12,https://www.eliteprospects.com/player/8667/sergei-samsonov,2003-2004,nhl,Sergei Samsonov,LW,FW
Pierre Turgeon (C),Dallas Stars,76,15,25,40,0.53,20,17,https://www.eliteprospects.com/player/8860/pierre-turgeon,2003-2004,nhl,Pierre Turgeon,C,FW
Shawn Horcoff (C),Edmonton Oilers,80,15,25,40,0.5,73,0,https://www.eliteprospects.com/player/4375/shawn-horcoff,2003-2004,nhl,Shawn Horcoff,C,FW
Patrik Stefan (C),Atlanta Thrashers,82,14,26,40,0.49,26,-7,https://www.eliteprospects.com/player/3666/patrik-stefan,2003-2004,nhl,Patrik Stefan,C,FW
Ron Francis (C),totals,80,13,27,40,0.5,14,-9,https://www.eliteprospects.com/player/21347/ron-francis,2003-2004,nhl,Ron Francis,C,FW
Michael Peca (C),New York Islanders,76,11,29,40,0.53,71,17,https://www.eliteprospects.com/player/8910/michael-peca,2003-2004,nhl,Michael Peca,C,FW
Kyle Calder (LW),Chicago Blackhawks,66,21,18,39,0.59,29,-18,https://www.eliteprospects.com/player/5671/kyle-calder,2003-2004,nhl,Kyle Calder,LW,FW
Dave Andreychuk (LW/RW),Tampa Bay Lightning,82,21,18,39,0.48,42,-9,https://www.eliteprospects.com/player/21425/dave-andreychuk,2003-2004,nhl,Dave Andreychuk,LW/RW,FW
Ruslan Fedotenko (LW),Tampa Bay Lightning,77,17,22,39,0.51,30,14,https://www.eliteprospects.com/player/8638/ruslan-fedotenko,2003-2004,nhl,Ruslan Fedotenko,LW,FW
Patrice Bergeron (C),Boston Bruins,71,16,23,39,0.55,22,5,https://www.eliteprospects.com/player/9079/patrice-bergeron,2003-2004,nhl,Patrice Bergeron,C,FW
Peter Schaefer (LW),Ottawa Senators,81,15,24,39,0.48,26,22,https://www.eliteprospects.com/player/8757/peter-schaefer,2003-2004,nhl,Peter Schaefer,LW,FW
Sean Hill (D),Carolina Hurricanes,80,13,26,39,0.49,84,-2,https://www.eliteprospects.com/player/9054/sean-hill,2003-2004,nhl,Sean Hill,D,DEF
Brad Stuart (D),San Jose Sharks,77,9,30,39,0.51,34,9,https://www.eliteprospects.com/player/3669/brad-stuart,2003-2004,nhl,Brad Stuart,D,DEF
Dan Boyle (D),Tampa Bay Lightning,78,9,30,39,0.5,60,23,https://www.eliteprospects.com/player/5369/dan-boyle,2003-2004,nhl,Dan Boyle,D,DEF
Rod Brind'Amour (C),Carolina Hurricanes,78,12,26,38,0.49,28,0,https://www.eliteprospects.com/player/8784/rod-brind-amour,2003-2004,nhl,Rod Brind'Amour,C,FW
Nicklas Lidström (D),Detroit Red Wings,81,10,28,38,0.47,18,19,https://www.eliteprospects.com/player/722/nicklas-lidstrom,2003-2004,nhl,Nicklas Lidström,D,DEF
Alexander Korolyuk (RW/LW),San Jose Sharks,63,19,18,37,0.59,18,20,https://www.eliteprospects.com/player/10195/alexander-korolyuk,2003-2004,nhl,Alexander Korolyuk,RW/LW,FW
Jeff Friesen (LW),New Jersey Devils,81,17,20,37,0.46,26,8,https://www.eliteprospects.com/player/9159/jeff-friesen,2003-2004,nhl,Jeff Friesen,LW,FW
Vladimír Országh (RW),Nashville Predators,82,16,21,37,0.45,74,-4,https://www.eliteprospects.com/player/1648/vladimir-orszagh,2003-2004,nhl,Vladimír Országh,RW,FW
