player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,player_name,position,fw_def
Mika Zibanejad (C/RW),New York Rangers,82,39,52,91,1.11,20,25,https://www.eliteprospects.com/player/23856/mika-zibanejad,2022-2023,nhl,Mika Zibanejad,C/RW,FW
Tim Stützle (LW/C),Ottawa Senators,78,39,51,90,1.15,54,-3,https://www.eliteprospects.com/player/348134/tim-stutzle,2022-2023,nhl,Tim Stützle,LW/C,FW
William Nylander (W/C),Toronto Maple Leafs,82,40,47,87,1.06,28,10,https://www.eliteprospects.com/player/38703/william-nylander,2022-2023,nhl,William Nylander,W/C,FW
Clayton Keller (RW/LW),Arizona Coyotes,82,37,49,86,1.05,49,-2,https://www.eliteprospects.com/player/226432/clayton-keller,2022-2023,nhl,Clayton Keller,RW/LW,FW
Auston Matthews (C/LW),Toronto Maple Leafs,74,40,45,85,1.15,20,31,https://www.eliteprospects.com/player/199898/auston-matthews,2022-2023,nhl,Auston Matthews,C/LW,FW
Steven Stamkos (C/W),Tampa Bay Lightning,81,34,50,84,1.04,46,-5,https://www.eliteprospects.com/player/11113/steven-stamkos,2022-2023,nhl,Steven Stamkos,C/W,FW
Zach Hyman (W/C),Edmonton Oilers,79,36,47,83,1.05,39,13,https://www.eliteprospects.com/player/75045/zach-hyman,2022-2023,nhl,Zach Hyman,W/C,FW
Brady Tkachuk (LW),Ottawa Senators,82,35,48,83,1.01,126,-10,https://www.eliteprospects.com/player/201473/brady-tkachuk,2022-2023,nhl,Brady Tkachuk,LW,FW
Yevgeni Malkin (C),Pittsburgh Penguins,82,27,56,83,1.01,82,-12,https://www.eliteprospects.com/player/4231/yevgeni-malkin,2022-2023,nhl,Yevgeni Malkin,C,FW
Jeff Skinner (C/LW),Buffalo Sabres,79,35,47,82,1.04,39,15,https://www.eliteprospects.com/player/23668/jeff-skinner,2022-2023,nhl,Jeff Skinner,C/LW,FW
J.T. Miller (C/W),Vancouver Canucks,81,32,50,82,1.01,60,-7,https://www.eliteprospects.com/player/38624/j.t.-miller,2022-2023,nhl,J.T. Miller,C/W,FW
John Tavares (C/LW),Toronto Maple Leafs,80,36,44,80,1,34,-7,https://www.eliteprospects.com/player/9223/john-tavares,2022-2023,nhl,John Tavares,C/LW,FW
Nico Hischier (C/LW),New Jersey Devils,81,31,49,80,0.99,10,33,https://www.eliteprospects.com/player/116244/nico-hischier,2022-2023,nhl,Nico Hischier,C/LW,FW
Kyle Connor (LW),Winnipeg Jets,82,31,49,80,0.98,20,-11,https://www.eliteprospects.com/player/177671/kyle-connor,2022-2023,nhl,Kyle Connor,LW,FW
Alex Tuch (RW/C),Buffalo Sabres,74,36,43,79,1.07,20,14,https://www.eliteprospects.com/player/178526/alex-tuch,2022-2023,nhl,Alex Tuch,RW/C,FW
Claude Giroux (W/C),Ottawa Senators,82,35,44,79,0.96,34,4,https://www.eliteprospects.com/player/10437/claude-giroux,2022-2023,nhl,Claude Giroux,W/C,FW
Dylan Larkin (C),Detroit Red Wings,80,32,47,79,0.99,45,-7,https://www.eliteprospects.com/player/177693/dylan-larkin,2022-2023,nhl,Dylan Larkin,C,FW
Jamie Benn (LW/C),Dallas Stars,82,33,45,78,0.95,34,23,https://www.eliteprospects.com/player/15399/jamie-benn,2022-2023,nhl,Jamie Benn,LW/C,FW
Aleksander Barkov (C),Florida Panthers,68,23,55,78,1.15,8,10,https://www.eliteprospects.com/player/50044/aleksander-barkov,2022-2023,nhl,Aleksander Barkov,C,FW
Joe Pavelski (C/RW),Dallas Stars,82,28,49,77,0.94,8,42,https://www.eliteprospects.com/player/10372/joe-pavelski,2022-2023,nhl,Joe Pavelski,C/RW,FW
Josh Morrissey (D),Winnipeg Jets,78,16,60,76,0.97,41,2,https://www.eliteprospects.com/player/62293/josh-morrissey,2022-2023,nhl,Josh Morrissey,D,DEF
Quinn Hughes (D),Vancouver Canucks,78,7,69,76,0.97,34,15,https://www.eliteprospects.com/player/201671/quinn-hughes,2022-2023,nhl,Quinn Hughes,D,DEF
Alexander Ovechkin (LW),Washington Capitals,73,42,33,75,1.03,48,-16,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2022-2023,nhl,Alexander Ovechkin,LW,FW
Kirill Kaprizov (LW),Minnesota Wild,67,40,35,75,1.12,45,4,https://www.eliteprospects.com/player/265645/kirill-kaprizov,2022-2023,nhl,Kirill Kaprizov,LW,FW
Roope Hintz (C/LW),Dallas Stars,73,37,38,75,1.03,30,31,https://www.eliteprospects.com/player/92117/roope-hintz,2022-2023,nhl,Roope Hintz,C/LW,FW
Brock Nelson (C),New York Islanders,82,36,39,75,0.91,24,13,https://www.eliteprospects.com/player/74997/brock-nelson,2022-2023,nhl,Brock Nelson,C,FW
Andrey Kuzmenko (LW/RW),Vancouver Canucks,81,39,35,74,0.91,8,9,https://www.eliteprospects.com/player/211807/andrey-kuzmenko,2022-2023,nhl,Andrey Kuzmenko,LW/RW,FW
Anze Kopitar (C),Los Angeles Kings,82,28,46,74,0.9,4,20,https://www.eliteprospects.com/player/4233/anze-kopitar,2022-2023,nhl,Anze Kopitar,C,FW
Dougie Hamilton (D),New Jersey Devils,82,22,52,74,0.9,50,23,https://www.eliteprospects.com/player/45596/dougie-hamilton,2022-2023,nhl,Dougie Hamilton,D,DEF
Johnny Gaudreau (LW),Columbus Blue Jackets,80,21,53,74,0.93,22,-33,https://www.eliteprospects.com/player/88391/johnny-gaudreau,2022-2023,nhl,Johnny Gaudreau,LW,FW
Carter Verhaeghe (C/LW),Florida Panthers,81,42,31,73,0.9,46,10,https://www.eliteprospects.com/player/116967/carter-verhaeghe,2022-2023,nhl,Carter Verhaeghe,C/LW,FW
Jordan Kyrou (C/RW),St. Louis Blues,79,37,36,73,0.92,22,-38,https://www.eliteprospects.com/player/269034/jordan-kyrou,2022-2023,nhl,Jordan Kyrou,C/RW,FW
Jake Guentzel (LW),Pittsburgh Penguins,78,36,37,73,0.94,46,2,https://www.eliteprospects.com/player/199870/jake-guentzel,2022-2023,nhl,Jake Guentzel,LW,FW
Tyler Toffoli (C/W),Calgary Flames,82,34,39,73,0.89,28,16,https://www.eliteprospects.com/player/23813/tyler-toffoli,2022-2023,nhl,Tyler Toffoli,C/W,FW
Jesper Bratt (LW/RW),New Jersey Devils,82,32,41,73,0.89,6,14,https://www.eliteprospects.com/player/117698/jesper-bratt,2022-2023,nhl,Jesper Bratt,LW/RW,FW
Brandon Montour (D),Florida Panthers,80,16,57,73,0.91,107,9,https://www.eliteprospects.com/player/97957/brandon-montour,2022-2023,nhl,Brandon Montour,D,DEF
Rasmus Dahlin (D),Buffalo Sabres,78,15,58,73,0.94,92,12,https://www.eliteprospects.com/player/310545/rasmus-dahlin,2022-2023,nhl,Rasmus Dahlin,D,DEF
Miro Heiskanen (D),Dallas Stars,79,11,62,73,0.92,32,12,https://www.eliteprospects.com/player/250075/miro-heiskanen,2022-2023,nhl,Miro Heiskanen,D,DEF
Kevin Fiala (W/C),Los Angeles Kings,69,23,49,72,1.04,52,2,https://www.eliteprospects.com/player/87971/kevin-fiala,2022-2023,nhl,Kevin Fiala,W/C,FW
Adam Fox (D),New York Rangers,82,12,60,72,0.88,34,28,https://www.eliteprospects.com/player/248380/adam-fox,2022-2023,nhl,Adam Fox,D,DEF
Martin Nečas (C/RW),Carolina Hurricanes,82,28,43,71,0.87,32,5,https://www.eliteprospects.com/player/237071/martin-necas,2022-2023,nhl,Martin Nečas,C/RW,FW
Jared McCann (C/W),Seattle Kraken,79,40,30,70,0.89,14,18,https://www.eliteprospects.com/player/189369/jared-mccann,2022-2023,nhl,Jared McCann,C/W,FW
Bo Horvat (C),totals,79,38,32,70,0.89,18,-1,https://www.eliteprospects.com/player/117012/bo-horvat,2022-2023,nhl,Bo Horvat,C,FW
Mark Scheifele (C),Winnipeg Jets,81,42,26,68,0.84,43,-16,https://www.eliteprospects.com/player/75379/mark-scheifele,2022-2023,nhl,Mark Scheifele,C,FW
Dylan Cozens (C/RW),Buffalo Sabres,81,31,37,68,0.84,41,-3,https://www.eliteprospects.com/player/286938/dylan-cozens,2022-2023,nhl,Dylan Cozens,C/RW,FW
Adrian Kempe (C/W),Los Angeles Kings,82,41,26,67,0.82,55,22,https://www.eliteprospects.com/player/86313/adrian-kempe,2022-2023,nhl,Adrian Kempe,C/W,FW
Sebastian Aho (C/W),Carolina Hurricanes,75,36,31,67,0.89,42,8,https://www.eliteprospects.com/player/152111/sebastian-aho,2022-2023,nhl,Sebastian Aho,C/W,FW
Sam Reinhart (C/RW),Florida Panthers,82,31,36,67,0.82,12,-12,https://www.eliteprospects.com/player/95032/sam-reinhart,2022-2023,nhl,Sam Reinhart,C/RW,FW
Logan Couture (C/LW),San Jose Sharks,82,27,40,67,0.82,19,-30,https://www.eliteprospects.com/player/11109/logan-couture,2022-2023,nhl,Logan Couture,C/LW,FW
Pavel Buchnevich (W/C),St. Louis Blues,63,26,41,67,1.06,36,14,https://www.eliteprospects.com/player/158906/pavel-buchnevich,2022-2023,nhl,Pavel Buchnevich,W/C,FW
Mats Zuccarello (RW/LW),Minnesota Wild,78,22,45,67,0.86,26,-3,https://www.eliteprospects.com/player/10881/mats-zuccarello,2022-2023,nhl,Mats Zuccarello,RW/LW,FW
Brad Marchand (W/C),Boston Bruins,73,21,46,67,0.92,74,27,https://www.eliteprospects.com/player/10439/brad-marchand,2022-2023,nhl,Brad Marchand,W/C,FW
Timo Meier (RW/LW),totals,78,40,26,66,0.85,43,-19,https://www.eliteprospects.com/player/95921/timo-meier,2022-2023,nhl,Timo Meier,RW/LW,FW
Jack Eichel (C),Vegas Golden Knights,67,27,39,66,0.99,6,26,https://www.eliteprospects.com/player/191959/jack-eichel,2022-2023,nhl,Jack Eichel,C,FW
Alex DeBrincat (LW/RW),Ottawa Senators,82,27,39,66,0.8,45,-31,https://www.eliteprospects.com/player/231275/alex-debrincat,2022-2023,nhl,Alex DeBrincat,LW/RW,FW
Nick Suzuki (C),Montréal Canadiens,82,26,40,66,0.8,33,-13,https://www.eliteprospects.com/player/300436/nick-suzuki,2022-2023,nhl,Nick Suzuki,C,FW
Cale Makar (D),Colorado Avalanche,60,17,49,66,1.1,30,16,https://www.eliteprospects.com/player/199655/cale-makar,2022-2023,nhl,Cale Makar,D,DEF
Dylan Strome (C),Washington Capitals,81,23,42,65,0.8,24,-4,https://www.eliteprospects.com/player/228107/dylan-strome,2022-2023,nhl,Dylan Strome,C,FW
Trevor Zegras (C/W),Anaheim Ducks,81,23,42,65,0.8,88,-24,https://www.eliteprospects.com/player/424453/trevor-zegras,2022-2023,nhl,Trevor Zegras,C/W,FW
Brayden Schenn (C/W),St. Louis Blues,82,21,44,65,0.79,50,-27,https://www.eliteprospects.com/player/14739/brayden-schenn,2022-2023,nhl,Brayden Schenn,C/W,FW
Robert Thomas (C/RW),St. Louis Blues,73,18,47,65,0.89,22,-8,https://www.eliteprospects.com/player/201681/robert-thomas,2022-2023,nhl,Robert Thomas,C/RW,FW
Chandler Stephenson (C/LW),Vegas Golden Knights,81,16,49,65,0.8,26,12,https://www.eliteprospects.com/player/60726/chandler-stephenson,2022-2023,nhl,Chandler Stephenson,C/LW,FW
Brandon Hagel (LW),Tampa Bay Lightning,81,30,34,64,0.79,54,23,https://www.eliteprospects.com/player/161843/brandon-hagel,2022-2023,nhl,Brandon Hagel,LW,FW
Alex Killorn (LW/RW),Tampa Bay Lightning,82,27,37,64,0.78,45,18,https://www.eliteprospects.com/player/12523/alex-killorn,2022-2023,nhl,Alex Killorn,LW/RW,FW
Elias Lindholm (C/RW),Calgary Flames,80,22,42,64,0.8,14,6,https://www.eliteprospects.com/player/33387/elias-lindholm,2022-2023,nhl,Elias Lindholm,C/RW,FW
Vincent Trocheck (C),New York Rangers,82,22,42,64,0.78,58,3,https://www.eliteprospects.com/player/45560/vincent-trocheck,2022-2023,nhl,Vincent Trocheck,C,FW
Vince Dunn (D),Seattle Kraken,81,14,50,64,0.79,55,28,https://www.eliteprospects.com/player/161816/vince-dunn,2022-2023,nhl,Vince Dunn,D,DEF
Mikhail Sergachyov (D),Tampa Bay Lightning,79,10,54,64,0.81,53,13,https://www.eliteprospects.com/player/312213/mikhail-sergachyov,2022-2023,nhl,Mikhail Sergachyov,D,DEF
Matt Boldy (LW/RW),Minnesota Wild,81,31,32,63,0.78,39,1,https://www.eliteprospects.com/player/375501/matt-boldy,2022-2023,nhl,Matt Boldy,LW/RW,FW
Pierre-Luc Dubois (C/LW),Winnipeg Jets,73,27,36,63,0.86,77,5,https://www.eliteprospects.com/player/252480/pierre-luc-dubois,2022-2023,nhl,Pierre-Luc Dubois,C/LW,FW
Tomas Hertl (C/LW),San Jose Sharks,79,22,41,63,0.8,42,-36,https://www.eliteprospects.com/player/56038/tomas-hertl,2022-2023,nhl,Tomas Hertl,C/LW,FW
Jordan Eberle (RW/C),Seattle Kraken,82,20,43,63,0.77,34,6,https://www.eliteprospects.com/player/11098/jordan-eberle,2022-2023,nhl,Jordan Eberle,RW/C,FW
Drake Batherson (RW/C),Ottawa Senators,82,22,40,62,0.76,33,-35,https://www.eliteprospects.com/player/195192/drake-batherson,2022-2023,nhl,Drake Batherson,RW/C,FW
Travis Konecny (RW/LW),Philadelphia Flyers,60,31,30,61,1.02,77,-12,https://www.eliteprospects.com/player/205148/travis-konecny,2022-2023,nhl,Travis Konecny,RW/LW,FW
Troy Terry (W/C),Anaheim Ducks,70,23,38,61,0.87,22,-8,https://www.eliteprospects.com/player/234046/troy-terry,2022-2023,nhl,Troy Terry,W/C,FW
Joel Eriksson Ek (C),Minnesota Wild,78,23,38,61,0.78,44,4,https://www.eliteprospects.com/player/139633/joel-eriksson-ek,2022-2023,nhl,Joel Eriksson Ek,C,FW
Brent Burns (D),Carolina Hurricanes,82,18,43,61,0.74,44,19,https://www.eliteprospects.com/player/9103/brent-burns,2022-2023,nhl,Brent Burns,D,DEF
Rickard Rakell (W/C),Pittsburgh Penguins,82,28,32,60,0.73,16,-5,https://www.eliteprospects.com/player/17435/rickard-rakell,2022-2023,nhl,Rickard Rakell,W/C,FW
Viktor Arvidsson (LW/RW),Los Angeles Kings,77,26,33,59,0.77,24,-4,https://www.eliteprospects.com/player/27484/viktor-arvidsson,2022-2023,nhl,Viktor Arvidsson,LW/RW,FW
Roman Josi (D),Nashville Predators,67,18,41,59,0.88,36,5,https://www.eliteprospects.com/player/12668/roman-josi,2022-2023,nhl,Roman Josi,D,DEF
Casey Mittelstadt (C/LW),Buffalo Sabres,82,15,44,59,0.72,22,-8,https://www.eliteprospects.com/player/300831/casey-mittelstadt,2022-2023,nhl,Casey Mittelstadt,C/LW,FW
Patrice Bergeron (C),Boston Bruins,78,27,31,58,0.74,22,35,https://www.eliteprospects.com/player/9079/patrice-bergeron,2022-2023,nhl,Patrice Bergeron,C,FW
Nick Schmaltz (C/RW),Arizona Coyotes,63,22,36,58,0.92,20,4,https://www.eliteprospects.com/player/156966/nick-schmaltz,2022-2023,nhl,Nick Schmaltz,C/RW,FW
Jonathan Marchessault (LW/RW),Vegas Golden Knights,76,28,29,57,0.75,21,2,https://www.eliteprospects.com/player/32872/jonathan-marchessault,2022-2023,nhl,Jonathan Marchessault,LW/RW,FW
Matty Beniers (C),Seattle Kraken,80,24,33,57,0.71,2,14,https://www.eliteprospects.com/player/201739/matty-beniers,2022-2023,nhl,Matty Beniers,C,FW
Patrick Kane (RW/LW),totals,73,21,36,57,0.78,16,-22,https://www.eliteprospects.com/player/9326/patrick-kane,2022-2023,nhl,Patrick Kane,RW/LW,FW
Pavel Zacha (C/LW),Boston Bruins,82,21,36,57,0.7,16,26,https://www.eliteprospects.com/player/130786/pavel-zacha,2022-2023,nhl,Pavel Zacha,C/LW,FW
Dawson Mercer (C/RW),New Jersey Devils,82,27,29,56,0.68,14,22,https://www.eliteprospects.com/player/320305/dawson-mercer,2022-2023,nhl,Dawson Mercer,C/RW,FW
Reilly Smith (RW/LW),Vegas Golden Knights,78,26,30,56,0.72,16,11,https://www.eliteprospects.com/player/33903/reilly-smith,2022-2023,nhl,Reilly Smith,RW/LW,FW
David Perron (LW/RW),Detroit Red Wings,82,24,32,56,0.68,52,-7,https://www.eliteprospects.com/player/11123/david-perron,2022-2023,nhl,David Perron,LW/RW,FW
Nazem Kadri (C/LW),Calgary Flames,82,24,32,56,0.68,56,-19,https://www.eliteprospects.com/player/14728/nazem-kadri,2022-2023,nhl,Nazem Kadri,C/LW,FW
Matt Duchene (C/LW),Nashville Predators,71,22,34,56,0.79,32,4,https://www.eliteprospects.com/player/12571/matt-duchene,2022-2023,nhl,Matt Duchene,C/LW,FW
Max Domi (C/W),totals,80,20,36,56,0.7,82,-15,https://www.eliteprospects.com/player/95484/max-domi,2022-2023,nhl,Max Domi,C/W,FW
Mikael Backlund (C/LW),Calgary Flames,82,19,37,56,0.68,36,24,https://www.eliteprospects.com/player/4295/mikael-backlund,2022-2023,nhl,Mikael Backlund,C/LW,FW
David Krejčí (C),Boston Bruins,70,16,40,56,0.8,20,23,https://www.eliteprospects.com/player/9226/david-krejci,2022-2023,nhl,David Krejčí,C,FW
Andrei Svechnikov (RW/LW),Carolina Hurricanes,64,23,32,55,0.86,71,6,https://www.eliteprospects.com/player/328556/andrei-svechnikov,2022-2023,nhl,Andrei Svechnikov,RW/LW,FW
Brock Boeser (RW/LW),Vancouver Canucks,74,18,37,55,0.74,24,-20,https://www.eliteprospects.com/player/248381/brock-boeser,2022-2023,nhl,Brock Boeser,RW/LW,FW
Blake Wheeler (RW/C),Winnipeg Jets,72,16,39,55,0.76,46,-3,https://www.eliteprospects.com/player/9215/blake-wheeler,2022-2023,nhl,Blake Wheeler,RW/C,FW
Jonathan Huberdeau (LW/RW),Calgary Flames,79,15,40,55,0.7,36,2,https://www.eliteprospects.com/player/45261/jonathan-huberdeau,2022-2023,nhl,Jonathan Huberdeau,LW/RW,FW
Tyson Barrie (D),totals,85,13,42,55,0.65,36,-7,https://www.eliteprospects.com/player/15127/tyson-barrie,2022-2023,nhl,Tyson Barrie,D,DEF
Yevgeni Kuznetsov (C/RW),Washington Capitals,81,12,43,55,0.68,56,-26,https://www.eliteprospects.com/player/34777/yevgeni-kuznetsov,2022-2023,nhl,Yevgeni Kuznetsov,C/RW,FW
Chris Kreider (LW/RW),New York Rangers,79,36,18,54,0.68,26,21,https://www.eliteprospects.com/player/37998/chris-kreider,2022-2023,nhl,Chris Kreider,LW/RW,FW
Kevin Hayes (C/LW),Philadelphia Flyers,81,18,36,54,0.67,23,-22,https://www.eliteprospects.com/player/40243/kevin-hayes,2022-2023,nhl,Kevin Hayes,C/LW,FW
Phillip Danault (C/LW),Los Angeles Kings,82,18,36,54,0.66,63,-8,https://www.eliteprospects.com/player/45282/phillip-danault,2022-2023,nhl,Phillip Danault,C/LW,FW
Alex Pietrangelo (D),Vegas Golden Knights,73,11,43,54,0.74,16,13,https://www.eliteprospects.com/player/11317/alex-pietrangelo,2022-2023,nhl,Alex Pietrangelo,D,DEF
William Karlsson (C),Vegas Golden Knights,82,14,39,53,0.65,10,14,https://www.eliteprospects.com/player/19432/william-karlsson,2022-2023,nhl,William Karlsson,C,FW
Hampus Lindholm (D),Boston Bruins,80,10,43,53,0.66,56,49,https://www.eliteprospects.com/player/34882/hampus-lindholm,2022-2023,nhl,Hampus Lindholm,D,DEF
Patrik Laine (LW/RW),Columbus Blue Jackets,55,22,30,52,0.95,16,-12,https://www.eliteprospects.com/player/221667/patrik-laine,2022-2023,nhl,Patrik Laine,LW/RW,FW
J.T. Compher (W/C),Colorado Avalanche,82,17,35,52,0.63,33,8,https://www.eliteprospects.com/player/114800/j.t.-compher,2022-2023,nhl,J.T. Compher,W/C,FW
Drew Doughty (D),Los Angeles Kings,81,9,43,52,0.64,34,12,https://www.eliteprospects.com/player/10430/drew-doughty,2022-2023,nhl,Drew Doughty,D,DEF
Charlie McAvoy (D),Boston Bruins,67,7,45,52,0.78,54,29,https://www.eliteprospects.com/player/245142/charlie-mcavoy,2022-2023,nhl,Charlie McAvoy,D,DEF
Artturi Lehkonen (LW),Colorado Avalanche,64,21,30,51,0.8,28,8,https://www.eliteprospects.com/player/43584/artturi-lehkonen,2022-2023,nhl,Artturi Lehkonen,LW,FW
Mathew Barzal (C/RW),New York Islanders,58,14,37,51,0.88,22,5,https://www.eliteprospects.com/player/186310/mathew-barzal,2022-2023,nhl,Mathew Barzal,C/RW,FW
Anders Lee (LW),New York Islanders,82,28,22,50,0.61,50,-3,https://www.eliteprospects.com/player/19068/anders-lee,2022-2023,nhl,Anders Lee,LW,FW
Jake DeBrusk (LW),Boston Bruins,64,27,23,50,0.78,16,26,https://www.eliteprospects.com/player/84242/jake-debrusk,2022-2023,nhl,Jake DeBrusk,LW,FW
Tyler Seguin (C/RW),Dallas Stars,76,21,29,50,0.66,24,3,https://www.eliteprospects.com/player/23807/tyler-seguin,2022-2023,nhl,Tyler Seguin,C/RW,FW
Vladimir Tarasenko (RW/LW),totals,69,18,32,50,0.72,8,-14,https://www.eliteprospects.com/player/24787/vladimir-tarasenko,2022-2023,nhl,Vladimir Tarasenko,RW/LW,FW
Justin Faulk (D),St. Louis Blues,82,11,39,50,0.61,34,-4,https://www.eliteprospects.com/player/20715/justin-faulk,2022-2023,nhl,Justin Faulk,D,DEF
Devon Toews (D),Colorado Avalanche,80,7,43,50,0.63,26,39,https://www.eliteprospects.com/player/59575/devon-toews,2022-2023,nhl,Devon Toews,D,DEF
Owen Tippett (RW/LW),Philadelphia Flyers,77,27,22,49,0.64,16,-17,https://www.eliteprospects.com/player/201664/owen-tippett,2022-2023,nhl,Owen Tippett,RW/LW,FW
Michael Bunting (LW/RW),Toronto Maple Leafs,82,23,26,49,0.6,103,21,https://www.eliteprospects.com/player/245191/michael-bunting,2022-2023,nhl,Michael Bunting,LW/RW,FW
Noah Dobson (D),New York Islanders,78,13,36,49,0.63,20,4,https://www.eliteprospects.com/player/275797/noah-dobson,2022-2023,nhl,Noah Dobson,D,DEF
Matias Maccelli (LW/RW),Arizona Coyotes,64,11,38,49,0.77,18,0,https://www.eliteprospects.com/player/375953/matias-maccelli,2022-2023,nhl,Matias Maccelli,LW/RW,FW
Rasmus Andersson (D),Calgary Flames,79,11,38,49,0.62,26,5,https://www.eliteprospects.com/player/86137/rasmus-andersson,2022-2023,nhl,Rasmus Andersson,D,DEF
Victor Hedman (D),Tampa Bay Lightning,76,9,40,49,0.64,42,10,https://www.eliteprospects.com/player/6007/victor-hedman,2022-2023,nhl,Victor Hedman,D,DEF
Jason Zucker (LW/RW),Pittsburgh Penguins,78,27,21,48,0.62,47,-4,https://www.eliteprospects.com/player/20726/jason-zucker,2022-2023,nhl,Jason Zucker,LW/RW,FW
Tomas Tatar (LW/RW),New Jersey Devils,82,20,28,48,0.59,30,41,https://www.eliteprospects.com/player/17750/tomas-tatar,2022-2023,nhl,Tomas Tatar,LW/RW,FW
Yanni Gourde (C/W),Seattle Kraken,81,14,34,48,0.59,76,23,https://www.eliteprospects.com/player/37303/yanni-gourde,2022-2023,nhl,Yanni Gourde,C/W,FW
Cam Fowler (D),Anaheim Ducks,82,10,38,48,0.59,14,-23,https://www.eliteprospects.com/player/31261/cam-fowler,2022-2023,nhl,Cam Fowler,D,DEF
Valeri Nichushkin (RW),Colorado Avalanche,53,17,30,47,0.89,2,15,https://www.eliteprospects.com/player/108661/valeri-nichushkin,2022-2023,nhl,Valeri Nichushkin,RW,FW
Alexander Barabanov (LW/RW),San Jose Sharks,68,15,32,47,0.69,20,-30,https://www.eliteprospects.com/player/87913/alexander-barabanov,2022-2023,nhl,Alexander Barabanov,LW/RW,FW
Daniel Sprong (RW/LW),Seattle Kraken,66,21,25,46,0.7,14,13,https://www.eliteprospects.com/player/231299/daniel-sprong,2022-2023,nhl,Daniel Sprong,RW/LW,FW
Bryan Rust (RW/LW),Pittsburgh Penguins,81,20,26,46,0.57,31,-4,https://www.eliteprospects.com/player/20708/bryan-rust,2022-2023,nhl,Bryan Rust,RW/LW,FW
Marcus Johansson (C/LW),totals,80,19,27,46,0.58,8,3,https://www.eliteprospects.com/player/6225/marcus-johansson,2022-2023,nhl,Marcus Johansson,C/LW,FW
Morgan Frost (C/LW),Philadelphia Flyers,81,19,27,46,0.57,24,-12,https://www.eliteprospects.com/player/317025/morgan-frost,2022-2023,nhl,Morgan Frost,C/LW,FW
Conor Garland (RW/LW),Vancouver Canucks,81,17,29,46,0.57,31,-5,https://www.eliteprospects.com/player/177208/conor-garland,2022-2023,nhl,Conor Garland,RW/LW,FW
