player_id,player_name_official,gp_regular,g_regular,a_regular,p_regular,plus_minus_regular,toi_per_game_regular,pim_regular,ppg_regular,ppp_regular,shg_regular,shp_regular,gwg_regular,otg_regular,sog_regular,shooting_pct_regular,fo_pct_regular,gp_playoffs,g_playoffs,a_playoffs,p_playoffs,plus_minus_playoffs,toi_per_game_playoffs,pim_playoffs,ppg_playoffs,ppp_playoffs,shg_playoffs,shp_playoffs,gwg_playoffs,otg_playoffs,sog_playoffs,shooting_pct_playoffs,fo_pct_playoffs,g_regular_per_game,a_regular_per_game,p_regular_per_game,sog_regular_per_game,pim_regular_per_game,g_playoffs_per_game,a_playoffs_per_game,p_playoffs_per_game,sog_playoffs_per_game,pim_playoffs_per_game
1892.0,Alexander Alexeyev,72.0,1.0,7.0,8.0,-10.0,14.878935185185185,12.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1.6666666666666667,0.0,4.0,0.0,1.0,1.0,-2.0,19.216666666666665,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.013888888888888888,0.09722222222222222,0.1111111111111111,0.6666666666666666,0.16666666666666666,0.0,0.25,0.25,0.5,1.0
1893.0,Rasmus Sandin,88.0,6.0,22.0,28.0,8.0,15.888257575757574,14.0,0.0,5.0,0.0,0.0,4.0,0.0,77.0,5.133333333333334,0.0,5.0,1.0,0.0,1.0,-3.0,13.216666666666665,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,8.333333333333334,0.0,0.06818181818181818,0.25,0.3181818181818182,0.875,0.1590909090909091,0.2,0.0,0.2,0.8,0.0
1895.0,Dylan McIlrath,37.0,2.0,2.0,4.0,6.0,13.56936936936937,80.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3666666666666667,0.0,1.0,0.0,0.0,0.0,1.0,9.116666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05405405405405406,0.05405405405405406,0.10810810810810811,0.7567567567567568,2.1621621621621623,0.0,0.0,0.0,1.0,0.0
1896.0,Connor Brown,171.0,35.0,35.0,70.0,1.0,15.582066276803118,28.0,4.0,12.0,2.0,3.0,6.0,0.0,269.0,11.766666666666666,21.266666666666666,13.0,1.0,3.0,4.0,0.0,16.950000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.566666666666666,12.5,0.2046783625730994,0.2046783625730994,0.4093567251461988,1.5730994152046784,0.16374269005847952,0.07692307692307693,0.23076923076923078,0.3076923076923077,1.0769230769230769,0.0
1901.0,Jakob Chychrun,171.0,16.0,38.0,54.0,-24.0,18.825048732943472,91.0,6.0,14.0,0.0,0.0,1.0,0.0,305.0,5.433333333333333,0.0,0.0,0.0,0.0,0.0,0.0,21.31754385964912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0935672514619883,0.2222222222222222,0.3157894736842105,1.7836257309941521,0.5321637426900585,,,,,
1902.0,Matt Roy,139.0,8.0,26.0,34.0,15.0,18.298561151079138,26.0,0.0,2.0,0.0,1.0,1.0,0.0,203.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,21.859523809523807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05755395683453238,0.18705035971223022,0.2446043165467626,1.460431654676259,0.18705035971223022,,,,,
1907.0,Patrik Elias,92.0,20.0,22.0,42.0,13.0,15.016666666666667,30.0,5.0,11.0,0.0,0.0,6.0,0.0,172.0,6.966666666666666,17.633333333333333,12.0,2.0,4.0,6.0,-2.0,15.883333333333333,4.0,1.0,3.0,0.0,0.0,0.0,0.0,27.0,3.6999999999999997,0.0,0.21739130434782608,0.2391304347826087,0.45652173913043476,1.8695652173913044,0.32608695652173914,0.16666666666666666,0.3333333333333333,0.5,2.25,0.3333333333333333
1908.0,Alexander Mogilny,194.0,84.0,107.0,191.0,29.0,18.752386196769457,105.0,22.0,53.0,3.0,5.0,9.0,0.0,567.0,14.299999999999999,0.0,12.0,0.0,9.0,9.0,-4.0,17.46934865900383,4.0,0.0,3.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.4329896907216495,0.5515463917525774,0.9845360824742269,2.922680412371134,0.5412371134020618,0.0,0.75,0.75,2.6666666666666665,0.3333333333333333
1909.0,Sergei Brylin,105.0,12.0,15.0,27.0,-3.0,15.378232323232323,54.0,0.0,4.0,0.0,0.0,1.0,0.0,126.0,9.433333333333334,0.0,12.0,1.0,2.0,3.0,1.0,15.43109965635739,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.033333333333333,0.0,0.11428571428571428,0.14285714285714285,0.2571428571428571,1.2,0.5142857142857142,0.08333333333333333,0.16666666666666666,0.25,0.9166666666666666,0.3333333333333333
1910.0,Brian Rafalski,229.0,21.0,110.0,131.0,72.0,20.904730713245996,72.0,9.0,48.0,0.0,0.0,6.0,1.0,395.0,5.266666666666667,33.333333333333336,54.0,12.0,19.0,31.0,13.0,21.785493827160494,19.0,4.0,13.0,0.0,0.0,4.0,1.0,97.0,12.4,0.0,0.09170305676855896,0.48034934497816595,0.5720524017467249,1.724890829694323,0.314410480349345,0.2222222222222222,0.35185185185185186,0.5740740740740741,1.7962962962962963,0.35185185185185186
