player_name,player_pos,player_link_official,player_link_ep,player_image
Denny Lambert,LW,https://www.nhl.com/player/8458888,https://www.eliteprospects.com/player/67108/denny-lambert,https://assets.nhle.com/mugs/nhl/20012002/ANA/8458888.png
Sergei Krivokrasov,RW,https://www.nhl.com/player/8458949,https://www.eliteprospects.com/player/18730/sergei-krivokrasov,https://assets.nhle.com/mugs/nhl/20012002/ANA/8458949.png
Timo Parssinen,LW,https://www.nhl.com/player/8469551,https://www.eliteprospects.com/player/2710/timo-parssinen,https://assets.nhle.com/mugs/nhl/20012002/ANA/8469551.png
Drew Bannister,D,https://www.nhl.com/player/8458962,https://www.eliteprospects.com/player/3727/drew-bannister,https://assets.nhle.com/mugs/nhl/20012002/ANA/8458962.png
Sandis Ozolinsh,D,https://www.nhl.com/player/8458544,https://www.eliteprospects.com/player/8690/sandis-ozolins,https://assets.nhle.com/mugs/nhl/20022003/ANA/8458544.png
Fredrik Olausson,D,https://www.nhl.com/player/8449971,https://www.eliteprospects.com/player/730/fredrik-olausson,https://assets.nhle.com/mugs/nhl/20022003/ANA/8449971.png
Alexei Smirnov,LW,https://www.nhl.com/player/8468492,https://www.eliteprospects.com/player/9555/alexei-smirnov,https://assets.nhle.com/mugs/nhl/20022003/ANA/8468492.png
Rob Valicevic,RW,https://www.nhl.com/player/8458628,https://www.eliteprospects.com/player/12676/rob-valicevic,https://assets.nhle.com/mugs/nhl/20022003/ANA/8458628.png
Chris O'Sullivan,D,https://www.nhl.com/player/8458966,https://www.eliteprospects.com/player/27949/chris-o-sullivan,https://assets.nhle.com/mugs/nhl/20022003/ANA/8458966.png
Lance Ward,RW,https://www.nhl.com/player/8464963,https://www.eliteprospects.com/player/8289/lance-ward,https://assets.nhle.com/mugs/nhl/20022003/ANA/8464963.png
Jonathan Hedstrom,RW,https://www.nhl.com/player/8466345,https://www.eliteprospects.com/player/183/jonathan-hedstrom,https://assets.nhle.com/mugs/nhl/20022003/ANA/8466345.png
Joffrey Lupul,LW,https://www.nhl.com/player/8470207,https://www.eliteprospects.com/player/9001/joffrey-lupul,https://assets.nhle.com/mugs/nhl/20032004/ANA/8470207.png
Garrett Burnett,LW,https://www.nhl.com/player/8467025,https://www.eliteprospects.com/player/52950/garrett-burnett,https://assets.nhle.com/mugs/nhl/20032004/ANA/8467025.png
Petr Schastlivy,LW,https://www.nhl.com/player/8467425,https://www.eliteprospects.com/player/12245/pyotr-schastlivy,https://assets.nhle.com/mugs/nhl/20032004/ANA/8467425.png
Tony Martensson,C,https://www.nhl.com/player/8469667,https://www.eliteprospects.com/player/59/tony-martensson,https://assets.nhle.com/mugs/nhl/20032004/ANA/8469667.png
Chris Armstrong,D,https://www.nhl.com/player/8459478,https://www.eliteprospects.com/player/13514/chris-armstrong,https://assets.nhle.com/mugs/nhl/20032004/ANA/8459478.png
Mark Popovic,D,https://www.nhl.com/player/8469488,https://www.eliteprospects.com/player/8569/mark-popovic,https://assets.nhle.com/mugs/nhl/20032004/ANA/8469488.png
Ryan Getzlaf,C,https://www.nhl.com/player/8470612,https://www.eliteprospects.com/player/8526/ryan-getzlaf,https://assets.nhle.com/mugs/nhl/20052006/ANA/8470612.png
Todd Fedoruk,LW,https://www.nhl.com/player/8466292,https://www.eliteprospects.com/player/8528/todd-fedoruk,https://assets.nhle.com/mugs/nhl/20052006/ANA/8466292.png
Joe Dipenta,D,https://www.nhl.com/player/8467387,https://www.eliteprospects.com/player/8530/joe-dipenta,https://assets.nhle.com/mugs/nhl/20052006/ANA/8467387.png
Bruno St. Jacques,D,https://www.nhl.com/player/8467558,https://www.eliteprospects.com/player/9386/bruno-st-jacques,https://assets.nhle.com/mugs/nhl/20052006/ANA/8467558.png
Kip Brennan,LW,https://www.nhl.com/player/8467427,https://www.eliteprospects.com/player/9683/kip-brennan,https://assets.nhle.com/mugs/nhl/20052006/ANA/8467427.png
Trevor Gillies,LW,https://www.nhl.com/player/8467579,https://www.eliteprospects.com/player/13776/trevor-gillies,https://assets.nhle.com/mugs/nhl/20052006/ANA/8467579.png
Aaron Gavey,C,https://www.nhl.com/player/8459010,https://www.eliteprospects.com/player/9684/aaron-gavey,https://assets.nhle.com/mugs/nhl/20052006/ANA/8459010.png
Bjorn Melin,RW,https://www.nhl.com/player/8468036,https://www.eliteprospects.com/player/135/bjorn-melin,https://assets.nhle.com/mugs/nhl/20062007/ANA/8468036.png
Bobby Ryan,RW,https://www.nhl.com/player/8471676,https://www.eliteprospects.com/player/9210/bobby-ryan,https://assets.nhle.com/mugs/nhl/20072008/ANA/8471676.png
Drew Miller,LW,https://www.nhl.com/player/8470778,https://www.eliteprospects.com/player/11405/drew-miller,https://assets.nhle.com/mugs/nhl/20072008/ANA/8470778.png
Petteri Wirtanen,C,https://www.nhl.com/player/8473494,https://www.eliteprospects.com/player/4222/petteri-wirtanen,https://assets.nhle.com/mugs/nhl/20072008/ANA/8473494.png
Maxim Kondratiev,D,https://www.nhl.com/player/8469615,https://www.eliteprospects.com/player/9384/maxim-kondratyev,https://assets.nhle.com/mugs/nhl/20072008/ANA/8469615.png
Ryan Whitney,D,https://www.nhl.com/player/8470309,https://www.eliteprospects.com/player/9399/ryan-whitney,https://assets.nhle.com/mugs/nhl/20082009/ANA/8470309.png
Erik Christensen,C,https://www.nhl.com/player/8470299,https://www.eliteprospects.com/player/10880/erik-christensen,https://assets.nhle.com/mugs/nhl/20082009/ANA/8470299.png
Bret Hedican,D,https://www.nhl.com/player/8456547,https://www.eliteprospects.com/player/9045/bret-hedican,https://assets.nhle.com/mugs/nhl/20082009/ANA/8456547.png
Brett Festerling,D,https://www.nhl.com/player/8471978,https://www.eliteprospects.com/player/14082/brett-festerling,https://assets.nhle.com/mugs/nhl/20082009/ANA/8471978.png
Brendan Mikkelson,D,https://www.nhl.com/player/8471705,https://www.eliteprospects.com/player/9355/brendan-mikkelson,https://assets.nhle.com/mugs/nhl/20082009/ANA/8471705.png
Brian Salcido,D,https://www.nhl.com/player/8471803,https://www.eliteprospects.com/player/11406/brian-salcido,https://assets.nhle.com/mugs/nhl/20082009/ANA/8471803.png
Troy Bodie,RW,https://www.nhl.com/player/8470867,https://www.eliteprospects.com/player/11723/troy-bodie,https://assets.nhle.com/mugs/nhl/20082009/ANA/8470867.png
Dan Sexton,RW,https://www.nhl.com/player/8475105,https://www.eliteprospects.com/player/31223/dan-sexton,https://assets.nhle.com/mugs/nhl/20092010/ANA/8475105.png
Jason Blake,LW,https://www.nhl.com/player/8467844,https://www.eliteprospects.com/player/8782/jason-blake,https://assets.nhle.com/mugs/nhl/20092010/ANA/8467844.png
Lubomir Visnovsky,D,https://www.nhl.com/player/8468598,https://www.eliteprospects.com/player/8592/lubomir-visnovsky,https://assets.nhle.com/mugs/nhl/20092010/ANA/8468598.png
Evgeny Artyukhin,RW,https://www.nhl.com/player/8469543,https://www.eliteprospects.com/player/8635/evgeny-artyukhin,https://assets.nhle.com/mugs/nhl/20092010/ANA/8469543.png
MacGregor Sharp,C,https://www.nhl.com/player/8475085,https://www.eliteprospects.com/player/24905/macgregor-sharp,https://assets.nhle.com/mugs/nhl/20092010/ANA/8475085.png
Toni Lydman,D,https://www.nhl.com/player/8465042,https://www.eliteprospects.com/player/2678/toni-lydman,https://assets.nhle.com/mugs/nhl/20102011/ANA/8465042.png
Andreas Lilja,D,https://www.nhl.com/player/8468534,https://www.eliteprospects.com/player/726/andreas-lilja,https://assets.nhle.com/mugs/nhl/20102011/ANA/8468534.png
Andy Sutton,D,https://www.nhl.com/player/8467304,https://www.eliteprospects.com/player/8554/andy-sutton,https://assets.nhle.com/mugs/nhl/20102011/ANA/8467304.png
Danny Syvret,D,https://www.nhl.com/player/8470996,https://www.eliteprospects.com/player/8900/danny-syvret,https://assets.nhle.com/mugs/nhl/20102011/ANA/8470996.png
Aaron Voros,LW,https://www.nhl.com/player/8469672,https://www.eliteprospects.com/player/14109/aaron-voros,https://assets.nhle.com/mugs/nhl/20102011/ANA/8469672.png
Niklas Hagman,LW,https://www.nhl.com/player/8467943,https://www.eliteprospects.com/player/2680/niklas-hagman,https://assets.nhle.com/mugs/nhl/20112012/ANA/8467943.png
Maxime Macenauer,C,https://www.nhl.com/player/8474139,https://www.eliteprospects.com/player/12518/maxime-macenauer,https://assets.nhle.com/mugs/nhl/20112012/ANA/8474139.png
Peter Holland,C,https://www.nhl.com/player/8475180,https://www.eliteprospects.com/player/24654/peter-holland,https://assets.nhle.com/mugs/nhl/20112012/ANA/8475180.png
Ryan O'Marra,C,https://www.nhl.com/player/8471689,https://www.eliteprospects.com/player/9197/ryan-o-marra,https://assets.nhle.com/mugs/nhl/20112012/ANA/8471689.png
Mat Clark,D,https://www.nhl.com/player/8475162,https://www.eliteprospects.com/player/31560/mat-clark,https://assets.nhle.com/mugs/nhl/20112012/ANA/8475162.png
Jean-Francois Jacques,LW,https://www.nhl.com/player/8470661,https://www.eliteprospects.com/player/9026/jean-francois-jacques,https://assets.nhle.com/mugs/nhl/20112012/ANA/8470661.png
Rickard Rakell,RW,https://www.nhl.com/player/8476483,https://www.eliteprospects.com/player/17435/rickard-rakell,https://assets.nhle.com/mugs/nhl/20122013/ANA/8476483.png
Matthew Lombardi,C,https://www.nhl.com/player/8468695,https://www.eliteprospects.com/player/8999/matthew-lombardi,https://assets.nhle.com/mugs/nhl/20122013/ANA/8468695.png
Jakob Silfverberg,RW,https://www.nhl.com/player/8475164,https://www.eliteprospects.com/player/6562/jakob-silfverberg,https://assets.nhle.com/mugs/nhl/20132014/ANA/8475164.png
