playername,fw_def,link
Wes Walz,FW,https://www.eliteprospects.com/player/8803/wes-walz
Mark Parrish,FW,https://www.eliteprospects.com/player/8905/mark-parrish
Harold Druken,FW,https://www.eliteprospects.com/player/38451/harold-druken
Pat Verbeek,FW,https://www.eliteprospects.com/player/21310/pat-verbeek
Serge Aubin,FW,https://www.eliteprospects.com/player/8785/serge-aubin
Jamie Langenbrunner,FW,https://www.eliteprospects.com/player/8742/jamie-langenbrunner
Pavel Kubina,DEF,https://www.eliteprospects.com/player/5519/pavel-kubina
Filip Kuba,DEF,https://www.eliteprospects.com/player/8639/filip-kuba
Sergei Nemchinov,FW,https://www.eliteprospects.com/player/25132/sergei-nemchinov
Darby Hendrickson,FW,https://www.eliteprospects.com/player/23275/darby-hendrickson
Georges Laraque,FW,https://www.eliteprospects.com/player/5693/georges-laraque
Kevyn Adams,FW,https://www.eliteprospects.com/player/8743/kevyn-adams
Igor Korolyov,FW,https://www.eliteprospects.com/player/18257/igor-korolyov
Henrik Sedin,FW,https://www.eliteprospects.com/player/738/henrik-sedin
Kenny Jönsson,DEF,https://www.eliteprospects.com/player/717/kenny-jonsson
Jim Dowd,FW,https://www.eliteprospects.com/player/8739/jim-dowd
David Tanabe,DEF,https://www.eliteprospects.com/player/8773/david-tanabe
Václav Prospal,FW,https://www.eliteprospects.com/player/8641/vaclav-prospal
Bryan McCabe,DEF,https://www.eliteprospects.com/player/4727/bryan-mccabe
Travis Green,FW,https://www.eliteprospects.com/player/9168/travis-green
Steve Guolla,FW,https://www.eliteprospects.com/player/8290/steve-guolla
Craig Darby,FW,https://www.eliteprospects.com/player/14735/craig-darby
Antti Laaksonen,FW,https://www.eliteprospects.com/player/2675/antti-laaksonen
Dean McAmmond,FW,https://www.eliteprospects.com/player/8972/dean-mcammond
Donald Brashear,FW,https://www.eliteprospects.com/player/9094/donald-brashear
Mattias Öhlund,DEF,https://www.eliteprospects.com/player/749/mattias-ohlund
Robert Svehla,DEF,https://www.eliteprospects.com/player/1909/robert-svehla
Derek Morris,DEF,https://www.eliteprospects.com/player/8963/derek-morris
