player_id,player_name_official,player_name_ep,player_pos_official,player_pos_ep,player_link_official,player_link_ep,player_image_official,date_of_birth,nation,height_cm,weight_kg,shoots,player_type,nhl_rights,draft,highlights,description
2734,Anton Klementyev,Anton Klementyev,D,D,https://www.nhl.com/player/8475270,https://www.eliteprospects.com/player/17575/anton-klementyev,https://assets.nhle.com/mugs/nhl/latest/8475270.png,3/25/1990,Russia,184,94,R,,,"('5', '122', '2009')",[],A reliable defenseman with good skating. Doesn't take a big role offensively. Tends to choose the easiest pass possible.
2735,Micheal Haley,Micheal Haley,LW,C/W,https://www.nhl.com/player/8474230,https://www.eliteprospects.com/player/14655/micheal-haley,https://assets.nhle.com/mugs/nhl/latest/8474230.png,3/30/1986,Canada,180,93,L,,,,[],"A hard working forward, Haley plays with a lot of heart, grit and energy. Always competes hard and will drop the gloves. Doesn't have great offensive instincts.
- Erik K."
2736,Ty Wishart,Ty Wishart,D,D,https://www.nhl.com/player/8473501,https://www.eliteprospects.com/player/9332/ty-wishart,https://assets.nhle.com/mugs/nhl/latest/8473501.png,5/19/1988,Canada,193,101,L,,,"('1', '16', '2006')","['1-time AIHL Champion', '1-time Slovakian Extraliga Champion', '1-time WHL (East) Second All-Star Team']",Twin Sister: Tia Wishart
2737,Mark Eaton,Mark Eaton,D,D,https://www.nhl.com/player/8467580,https://www.eliteprospects.com/player/9143/mark-eaton,https://assets.nhle.com/mugs/nhl/latest/8467580.png,5/6/1977,USA,188,92,L,,,,['1-time NHL Stanley Cup Champion'],
2738,Justin DiBenedetto,Justin DiBenedetto,C,C/LW,https://www.nhl.com/player/8474731,https://www.eliteprospects.com/player/13844/justin-dibenedetto,https://assets.nhle.com/mugs/nhl/latest/8474731.png,8/25/1988,Canada,183,90,L,,,"('6', '175', '2008')",['1-time OHL Second All-Star Team'],"DiBenedetto is a tough forward with a gritty game. Plays hard and goes to the net. Has decent all-around ability.
- Erik K."
2739,Mark Katic,Mark Katic,D,D,https://www.nhl.com/player/8474063,https://www.eliteprospects.com/player/11395/mark-katic,https://assets.nhle.com/mugs/nhl/latest/8474063.png,5/9/1989,Croatia / Canada,178,82,L,,,"('3', '62', '2007')","['2-time DEL Champion', '1-time OHL First All-Rookie Team', '1-time Spengler Cup Winner']","Katic is a defenseman with good vision and passing ability. A very good skater, he can rush the puck up the ice, too. Isn't very big, though, which can be a problem in physical contests.
- Erik K."
2740,Shane Sims,Shane Sims,D,D,https://www.nhl.com/player/8473611,https://www.eliteprospects.com/player/12278/shane-sims,https://assets.nhle.com/mugs/nhl/latest/8473611.png,4/30/1988,USA,185,89,R,,,"('5', '126', '2006')",['1-time USHL Clark Cup Champion'],"Sims' biggest asset is most likely his huge shot from the point. The hard one-timer makes him a good powerplay option.
He also skates and moves the puck well, but could improve defensively."
2741,Jamie Doornbosch,Jamie Doornbosch,D,D,https://www.nhl.com/player/8475990,https://www.eliteprospects.com/player/30036/jamie-doornbosch,https://assets.nhle.com/mugs/nhl/latest/8475990.png,2/1/1990,Canada,188,86,L,,,,[],
2742,Matt Campanale,Matt Campanale,D,D,https://www.nhl.com/player/8476208,https://www.eliteprospects.com/player/32370/matt-campanale,https://assets.nhle.com/mugs/nhl/latest/8476208.png,2/14/1988,USA,180,91,L,,,,[],"Brothers: Chris Campanale, Nick Campanale"
2743,Rhett Rakhshani,Rhett Rakhshani,RW,RW,https://www.nhl.com/player/8473456,https://www.eliteprospects.com/player/9315/rhett-rakhshani,https://assets.nhle.com/mugs/nhl/latest/8473456.png,3/6/1988,USA / Iran,178,83,R,,,"('4', '100', '2006')","['1-time U18 WJC Gold Medal', '1-time AHL All-Rookie Team', '2-time Champions Hockey League Champion', '1-time NCAA (West) First All-American Team', '2-time SHL Champion']",Brother-in-law: Noah Welch
2744,David Ullstrom,David Ullstrom,LW,C,https://www.nhl.com/player/8474666,https://www.eliteprospects.com/player/6913/david-ullstrom,https://assets.nhle.com/mugs/nhl/latest/8474666.png,4/22/1989,Sweden,192,88,L,,,"('4', '102', '2008')","['1-time U20 WJC Silver Medal', '2-time SHL Champion']",
2745,Casey Cizikas,Casey Cizikas,C,C,https://www.nhl.com/player/8475231,https://www.eliteprospects.com/player/14960/casey-cizikas,https://assets.nhle.com/mugs/nhl/latest/8475231.png,2/27/1991,Canada,180,88,L,,New York Islanders / Signed,"('4', '92', '2009')","['1-time U17 WHC Gold Medal', '1-time U20 WJC Silver Medal', '1-time OHL First All-Rookie Team', '1-time OHL Third All-Star Team']",
2746,Matt Donovan,Matt Donovan,D,D,https://www.nhl.com/player/8474659,https://www.eliteprospects.com/player/14126/matt-donovan,https://assets.nhle.com/mugs/nhl/latest/8474659.png,5/9/1990,USA,185,93,L,,,"('4', '96', '2008')","['1-time U20 WJC Gold Medal', '1-time AHL All-Rookie Team', '1-time Champions Hockey League Champion', '1-time USHL All-Rookie Team', '1-time USHL First All-Star Team']","Matt Donovan is a defenseman with good skating and puck-handling ability, so he can rush the puck or jump up on a play. Owns a fairly accurate shot from the point, and good offensive vision. Donovan can play a physical game at times, too. Defensively, he could stand to be more a consistent presence.
- Erik K."
